REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,3.8588554772199997
Globe,ALUPLANT,2011,3.98095382647
Globe,ALUPLANT,2012,4.1011541050460005
Globe,ALUPLANT,2013,4.21954439144
Globe,ALUPLANT,2014,4.336120509180001
Globe,ALUPLANT,2015,4.4509648856199995
Globe,ALUPLANT,2016,4.5641022
Globe,ALUPLANT,2017,4.6755462
Globe,ALUPLANT,2018,4.78536910394
Globe,ALUPLANT,2019,4.89357487776
Globe,ALUPLANT,2020,5.0002308204
Globe,ALUPLANT,2021,5.013401051900001
Globe,ALUPLANT,2022,5.02636271976
Globe,ALUPLANT,2023,5.039161319562
Globe,ALUPLANT,2024,5.05175941426
Globe,ALUPLANT,2025,5.0642019842799995
Globe,ALUPLANT,2026,5.07647199788
Globe,ALUPLANT,2027,5.0885527461799995
Globe,ALUPLANT,2028,5.100488361572
Globe,ALUPLANT,2029,5.1122416319
Globe,ALUPLANT,2030,5.1238563288
Globe,ALUPLANT,2031,5.135315365248
Globe,ALUPLANT,2032,5.146601929779999
Globe,ALUPLANT,2033,5.15775896574
Globe,ALUPLANT,2034,5.16874974692
Globe,ALUPLANT,2035,5.179616498220001
Globe,ALUPLANT,2036,5.190342402713999
Globe,ALUPLANT,2037,5.200910687872001
Globe,ALUPLANT,2038,5.211362873276601
Globe,ALUPLANT,2039,5.22166286508
Globe,ALUPLANT,2040,5.23185179068
Globe,ALUPLANT,2041,5.24191275892
Globe,ALUPLANT,2042,5.25182908768
Globe,ALUPLANT,2043,5.26164129068
Globe,ALUPLANT,2044,5.27131362052
Globe,ALUPLANT,2045,5.28088622428
Globe,ALUPLANT,2046,5.290342144859999
Globe,ALUPLANT,2047,5.299665066779999
Globe,ALUPLANT,2048,5.30889431218
Globe,ALUPLANT,2049,5.31799468362
Globe,ALUPLANT,2050,5.3270051366
Globe,ALUPLANT,2051,5.3270051366
Globe,ALUPLANT,2052,5.3270051366
Globe,ALUPLANT,2053,5.3270051366
Globe,ALUPLANT,2054,5.3270051366
Globe,ALUPLANT,2055,5.3270051366
Globe,ALUPLANT,2056,5.3270051366
Globe,ALUPLANT,2057,5.3270051366
Globe,ALUPLANT,2058,5.3270051366
Globe,ALUPLANT,2059,5.3270051366
Globe,ALUPLANT,2060,5.3270051366
Globe,ALUPLANT,2061,5.3270051366
Globe,ALUPLANT,2062,5.3270051366
Globe,ALUPLANT,2063,5.3270051366
Globe,ALUPLANT,2064,5.3270051366
Globe,ALUPLANT,2065,5.3270051366
Globe,ALUPLANT,2066,5.3270051366
Globe,ALUPLANT,2067,5.3270051366
Globe,ALUPLANT,2068,5.3270051366
Globe,ALUPLANT,2069,5.3270051366
Globe,ALUPLANT,2070,5.3270051366
Globe,C1BFRDF00,2010,0.5606000000000001
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6066999999999999
Globe,C1BFRDF00,2013,0.566799996738
Globe,C1BFRDF00,2014,0.528800002002
Globe,C1BFRDF00,2015,0.492699999746
Globe,C1BFRDF00,2016,0.45490000242
Globe,C1BFRDF00,2017,0.419799998108
Globe,C1BFRDF00,2018,0.387100000896
Globe,C1BFRDF00,2019,0.356799998747
Globe,C1BFRDF00,2020,0.328699999415
Globe,C1BFRDF00,2022,0.51964388
Globe,C1BFRDF00,2023,0.0374486911774
Globe,C1BFRDF00,2024,0.0422565597388
Globe,C1BFRDF00,2025,0.30062911697399997
Globe,C1BFRDF00,2026,0.1503625521213
Globe,C1BFRDF00,2027,0.0025046016172399995
Globe,C1BFRDF00,2030,0.0081381948799
Globe,C1BMBRFH1,2010,22.6014539826
Globe,C1BMBRFH1,2011,17.429385275379996
Globe,C1BMBRFH1,2012,16.66268887662
Globe,C1BMBRFH1,2013,15.61024654416
Globe,C1BMBRFH1,2014,14.27741162838
Globe,C1BMBRFH1,2015,12.78177750926
Globe,C1BMBRFH1,2016,12.0235828009
Globe,C1BMBRFH1,2017,11.239648231319999
Globe,C1BMBRFH1,2018,10.426373948579998
Globe,C1BMBRFH1,2019,9.33546768954
