REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,4.20996668
Globe,ALUPLANT,2011,4.27081386
Globe,ALUPLANT,2012,4.46203942
Globe,ALUPLANT,2013,4.50907825
Globe,ALUPLANT,2014,4.54251361
Globe,ALUPLANT,2015,4.49177587
Globe,ALUPLANT,2016,4.56410223
Globe,ALUPLANT,2017,4.6755461700000005
Globe,ALUPLANT,2018,5.047542460000001
Globe,ALUPLANT,2019,5.338833559999999
Globe,ALUPLANT,2020,5.45519399
Globe,ALUPLANT,2021,5.374322635
Globe,ALUPLANT,2022,5.483703595
Globe,ALUPLANT,2023,5.463906655000001
Globe,ALUPLANT,2024,5.511411135
Globe,ALUPLANT,2025,5.524985825
Globe,ALUPLANT,2026,5.366685825
Globe,ALUPLANT,2027,5.451211975
Globe,ALUPLANT,2028,5.561840565
Globe,ALUPLANT,2029,5.577396524999999
Globe,ALUPLANT,2030,5.590068025
Globe,ALUPLANT,2031,5.541717015
Globe,ALUPLANT,2032,5.490516745
Globe,ALUPLANT,2033,5.567910935
Globe,ALUPLANT,2034,5.639046185
Globe,ALUPLANT,2035,5.650901745
Globe,ALUPLANT,2036,5.598478825
Globe,ALUPLANT,2037,5.586075385
Globe,ALUPLANT,2038,5.677060125000001
Globe,ALUPLANT,2039,5.696773845
Globe,ALUPLANT,2040,5.707889835
Globe,ALUPLANT,2041,5.718866205
Globe,ALUPLANT,2042,5.729684825
Globe,ALUPLANT,2043,5.740389805
Globe,ALUPLANT,2044,5.750942245
Globe,ALUPLANT,2045,5.761385785
Globe,ALUPLANT,2046,5.771702148
Globe,ALUPLANT,2047,5.7818733380000005
Globe,ALUPLANT,2048,5.791942298
Globe,ALUPLANT,2049,5.801870698
Globe,ALUPLANT,2050,5.811701038000001
Globe,ALUPLANT,2051,5.811701038000001
Globe,ALUPLANT,2052,5.811701038
Globe,ALUPLANT,2053,5.811701038000001
Globe,ALUPLANT,2054,5.811701038000001
Globe,ALUPLANT,2055,5.811701038000001
Globe,ALUPLANT,2056,5.811701038
Globe,ALUPLANT,2057,5.811701038000001
Globe,ALUPLANT,2058,5.811701038000001
Globe,ALUPLANT,2059,5.811701038000001
Globe,ALUPLANT,2060,5.811701038000001
Globe,ALUPLANT,2061,5.811701038000001
Globe,ALUPLANT,2062,5.811701038000001
Globe,ALUPLANT,2063,5.811701038000001
Globe,ALUPLANT,2064,5.811701038000001
Globe,ALUPLANT,2065,5.811701038000001
Globe,ALUPLANT,2066,5.811701038000001
Globe,ALUPLANT,2067,5.811701038000001
Globe,ALUPLANT,2068,5.811701038
Globe,ALUPLANT,2069,5.811701038000001
Globe,ALUPLANT,2070,5.811701038000001
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.6067
Globe,C1BFRDF00,2014,0.6067
Globe,C1BFRDF00,2015,0.6067
Globe,C1BFRDF00,2016,0.6067
Globe,C1BFRDF00,2017,0.6067
Globe,C1BFRDF00,2018,0.6067
Globe,C1BFRDF00,2019,0.6067
Globe,C1BFRDF00,2020,0.6067
Globe,C1BFRDF00,2021,0.6067
Globe,C1BFRDF00,2022,0.51964388
Globe,C1BFRDF00,2023,0.49664388
Globe,C1BFRDF00,2024,0.47354388
Globe,C1BFRDF00,2025,0.47354388
Globe,C1BFRDF00,2026,0.47354388
Globe,C1BFRDF00,2027,0.47354388
Globe,C1BFRDF00,2028,0.47354388
Globe,C1BFRDF00,2029,0.47354388
Globe,C1BFRDF00,2030,0.47354388
Globe,C1BFRDF00,2031,0.47354388
Globe,C1BFRDF00,2032,0.47354388
Globe,C1BFRDF00,2033,0.47354388
Globe,C1BMBRFH1,2010,0.7828
Globe,C1BMBRFH1,2011,0.7306
Globe,C1BMBRFH1,2012,0.6784
Globe,C1BMBRFH1,2013,0.6263
Globe,C1BMBRFH1,2014,0.5741
Globe,C1BMBRFH1,2015,0.5219
Globe,C1BMBRFH1,2016,0.4697
Globe,C1BMBRFH1,2017,0.4175
Globe,C1BMBRFH1,2018,0.3653
Globe,C1BMBRFH1,2019,0.3131
Globe,C1BMBRFH1,2020,0.2609
Globe,C1BMBRFH1,2021,0.219330077
Globe,C1BMBRFH1,2022,0.167130077
Globe,C1BMBRFH1,2023,0.1165643509
Globe,C1BMBRFH1,2024,0.0643643509
Globe,C1BMBRFH1,2025,0.0121643509
Globe,C1BMBRFH1,2026,0.0121643509
Globe,C1BMBRFH1,2027,0.0121643509
Globe,C1BMBRFH1,2028,0.0121643509
Globe,C1BMBRFH1,2029,0.0121643509
Globe,C1BMBRFH1,2030,0.0121643509
Globe,C1BMBRFH1,2031,0.0121643509
Globe,C1BMBRFH1,2032,0.0121643509
Globe,C1BMBRFH1,2033,0.0121643509
Globe,C1BMBRFH1,2034,0.0121643509
Globe,C1BMBRFH1,2035,0.0121643509
Globe,C1BMBRFH1,2036,0.0016342739
Globe,C1BMBRFH1,2037,0.0016342739
Globe,C1BMBRFN1,2010,0.07
Globe,C1BMBRFN1,2011,0.07
Globe,C1BMBRFN1,2012,0.07
Globe,C1BMBRFN1,2013,0.07
Globe,C1BMBRFN1,2014,0.07
Globe,C1BMBRFN1,2015,0.10500000000000001
Globe,C1BMBRFN1,2016,0.14500000000000002
Globe,C1BMBRFN1,2017,0.18500000000000003
Globe,C1BMBRFN1,2018,0.22500000000000003
Globe,C1BMBRFN1,2019,0.275
Globe,C1BMBRFN1,2020,0.325
Globe,C1BMBRFN1,2021,0.375
Globe,C1BMBRFN1,2022,0.425
Globe,C1BMBRFN1,2023,0.475
Globe,C1BMBRFN1,2024,0.525
Globe,C1BMBRFN1,2025,0.505
Globe,C1BMBRFN1,2026,0.555
Globe,C1BMBRFN1,2027,0.6050000000000001
Globe,C1BMBRFN1,2028,0.6465183760000001
Globe,C1BMBRFN1,2029,0.6523543013
Globe,C1BMBRFN1,2030,0.6565536753
Globe,C1BMBRFN1,2031,0.6578249513
Globe,C1BMBRFN1,2032,0.6648677182999999
Globe,C1BMBRFN1,2033,0.6675173133
Globe,C1BMBRFN1,2034,0.6660467333000001
Globe,C1BMBRFN1,2035,0.6651939103000002
Globe,C1BMBRFN1,2036,0.6634949263000002
Globe,C1BMBRFN1,2037,0.6634949263000002
Globe,C1BMBRFN1,2038,0.6634949263000001
Globe,C1BMBRFN1,2039,0.6634949263000002
Globe,C1BMBRFN1,2040,0.6634949263000002
Globe,C1BMBRFN1,2041,0.6634949263000001
Globe,C1BMBRFN1,2042,0.6629015323000002
Globe,C1BMBRFN1,2043,0.6647001373000001
Globe,C1BMBRFN1,2044,0.6669533432000001
Globe,C1BMBRFN1,2045,0.6673917922
Globe,C1BMBRFN1,2046,0.6681027492
Globe,C1BMBRFN1,2047,0.6690914802
Globe,C1BMBRFN1,2048,0.6740301792
Globe,C1BMBRFN1,2049,0.6755007592
Globe,C1BMBRFN1,2050,0.6763535822
Globe,C1BMBRFN1,2051,0.6780525662000002
Globe,C1BMBRFN1,2052,0.6780525662000002
Globe,C1BMBRFN1,2053,0.6780525662000001
Globe,C1BMBRFN1,2054,0.6780525662000001
Globe,C1BMBRFN1,2055,0.6780525662000001
Globe,C1BMBRFN1,2056,0.6780525662000001
Globe,C1BMBRFN1,2057,0.6786459602000001
Globe,C1BMBRFN1,2058,0.6853289792000001
Globe,C1BMBRFN1,2059,0.7098770010000002
Globe,C1BMBRFN1,2060,0.7202391780000001
Globe,C1BMBRFN1,2061,0.7202557090000001
Globe,C1BMBRFN1,2062,0.719889352
Globe,C1BMBRFN1,2063,0.7223010580000001
Globe,C1BMBRFN1,2064,0.7223010580000001
Globe,C1BMBRFN1,2065,0.7223010580000001
Globe,C1BMBRFN1,2066,0.7223010580000002
Globe,C1BMBRFN1,2067,0.7138776820000001
Globe,C1BMBRFN1,2068,0.7127502440000001
Globe,C1BMBRFN1,2069,0.711618571
Globe,C1BMBRFN1,2070,0.67588648
Globe,C1BMCHP00,2010,0.033
Globe,C1BMCHP00,2011,0.0321
Globe,C1BMCHP00,2012,0.0311
Globe,C1BMCHP00,2013,0.0301
Globe,C1BMCHP00,2014,0.0291
Globe,C1BMCHP00,2015,0.0282
Globe,C1BMCHP00,2016,0.0272
Globe,C1BMCHP00,2017,0.0262
Globe,C1BMCHP00,2018,0.0253
Globe,C1BMCHP00,2019,0.0243
Globe,C1BMCHP00,2020,0.0333
Globe,C1BMCHP00,2021,0.042300000000000004
Globe,C1BMCHP00,2022,0.0514
Globe,C1BMCHP00,2023,0.0551592389
Globe,C1BMCHP00,2024,0.0641592389
Globe,C1BMCHP00,2025,0.0732592389
Globe,C1BMCHP00,2026,0.07281278050000001
Globe,C1BMCHP00,2027,0.0718127805
Globe,C1BMCHP00,2028,0.0708127805
Globe,C1BMCHP00,2029,0.0699127805
Globe,C1BMCHP00,2030,0.06891278049999999
Globe,C1BMCHP00,2031,0.06791278049999999
Globe,C1BMCHP00,2032,0.0670127805
Globe,C1BMCHP00,2033,0.06601278049999999
Globe,C1BMCHP00,2034,0.0650127805
