REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,0.25086668
Globe,ALUPLANT,2011,0.21924718
Globe,ALUPLANT,2012,0.34952556
Globe,ALUPLANT,2013,0.20543883
Globe,ALUPLANT,2014,0.19183536
Globe,ALUPLANT,2015,0.10756226
Globe,ALUPLANT,2016,0.23072636
Globe,ALUPLANT,2017,0.26974394
Globe,ALUPLANT,2018,0.53039629
Globe,ALUPLANT,2019,0.4496911
Globe,ALUPLANT,2020,0.27466043
Globe,ALUPLANT,2021,0.077528645
Globe,ALUPLANT,2022,0.26778096
Globe,ALUPLANT,2023,0.13850306
Globe,ALUPLANT,2024,0.20590448
Globe,ALUPLANT,2025,0.17197469
Globe,ALUPLANT,2027,0.24292615
Globe,ALUPLANT,2028,0.26902859
Globe,ALUPLANT,2029,0.17385596
Globe,ALUPLANT,2030,0.1710715
Globe,ALUPLANT,2031,0.10994899
Globe,ALUPLANT,2032,0.10719973
Globe,ALUPLANT,2033,0.23579419
Globe,ALUPLANT,2034,0.22943525
Globe,ALUPLANT,2035,0.42112224
Globe,ALUPLANT,2036,0.16682426
Globe,ALUPLANT,2037,0.33712212
Globe,ALUPLANT,2038,0.29642357
Globe,ALUPLANT,2039,0.21154908
Globe,ALUPLANT,2040,0.11867825
Globe,ALUPLANT,2041,0.24170273
Globe,ALUPLANT,2042,0.28056256
Globe,ALUPLANT,2043,0.54110127
Globe,ALUPLANT,2044,0.46024354
Globe,ALUPLANT,2045,0.28510397
Globe,ALUPLANT,2046,0.087845008
Globe,ALUPLANT,2047,0.27795215
Globe,ALUPLANT,2048,0.14857202
Globe,ALUPLANT,2049,0.21583288
Globe,ALUPLANT,2050,0.18180503
Globe,ALUPLANT,2052,0.24292615
Globe,ALUPLANT,2053,0.26902859
Globe,ALUPLANT,2054,0.17385596
Globe,ALUPLANT,2055,0.1710715
Globe,ALUPLANT,2056,0.10994899
Globe,ALUPLANT,2057,0.10719973
Globe,ALUPLANT,2058,0.23579419
Globe,ALUPLANT,2059,0.22943525
Globe,ALUPLANT,2060,0.42112224
Globe,ALUPLANT,2061,0.16682426
Globe,ALUPLANT,2062,0.33712212
Globe,ALUPLANT,2063,0.29642357
Globe,ALUPLANT,2064,0.21154908
Globe,ALUPLANT,2065,0.11867825
Globe,ALUPLANT,2066,0.24170273
Globe,ALUPLANT,2067,0.28056256
Globe,ALUPLANT,2068,0.54110127
Globe,ALUPLANT,2069,0.46024354
Globe,ALUPLANT,2070,0.28510397
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.023
Globe,C1BFRDF00,2012,0.0231
Globe,C1BFRDF00,2022,0.47354388
Globe,C1BMBRFH1,2021,0.010530077
Globe,C1BMBRFH1,2023,0.0016342739
Globe,C1BMBRFN1,2010,0.07
Globe,C1BMBRFN1,2015,0.035
Globe,C1BMBRFN1,2016,0.04
Globe,C1BMBRFN1,2017,0.04
Globe,C1BMBRFN1,2018,0.04
Globe,C1BMBRFN1,2019,0.05
Globe,C1BMBRFN1,2020,0.05
Globe,C1BMBRFN1,2021,0.05
Globe,C1BMBRFN1,2022,0.05
Globe,C1BMBRFN1,2023,0.05
Globe,C1BMBRFN1,2024,0.05
Globe,C1BMBRFN1,2025,0.05
Globe,C1BMBRFN1,2026,0.05
Globe,C1BMBRFN1,2027,0.05
Globe,C1BMBRFN1,2028,0.041518376
Globe,C1BMBRFN1,2029,0.0058359253
Globe,C1BMBRFN1,2030,0.039199374
Globe,C1BMBRFN1,2031,0.041271276
Globe,C1BMBRFN1,2032,0.047042767
Globe,C1BMBRFN1,2033,0.042649595
Globe,C1BMBRFN1,2034,0.04852942
Globe,C1BMBRFN1,2035,0.049147177
Globe,C1BMBRFN1,2036,0.048301016
Globe,C1BMBRFN1,2037,0.05
Globe,C1BMBRFN1,2038,0.05
Globe,C1BMBRFN1,2039,0.05
Globe,C1BMBRFN1,2040,0.05
Globe,C1BMBRFN1,2041,0.05
Globe,C1BMBRFN1,2042,0.049406606
Globe,C1BMBRFN1,2043,0.043316981
Globe,C1BMBRFN1,2044,0.0080891312
Globe,C1BMBRFN1,2045,0.039637823
Globe,C1BMBRFN1,2046,0.041982233
