REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,2.6240217145442206
Globe,ALUPLANT,2011,2.7070618653882406
Globe,ALUPLANT,2012,2.7887652060810955
Globe,ALUPLANT,2013,2.8692838482382426
Globe,ALUPLANT,2014,2.9485672170845976
Globe,ALUPLANT,2015,3.0266641122992786
Globe,ALUPLANT,2016,3.1035972964096175
Globe,ALUPLANT,2017,3.179378949129422
Globe,ALUPLANT,2018,3.2540611892950664
Globe,ALUPLANT,2019,3.278691296445027
Globe,ALUPLANT,2020,3.3001670205712275
Globe,ALUPLANT,2021,3.318501112416568
Globe,ALUPLANT,2022,3.3337469957765054
Globe,ALUPLANT,2023,3.3991054229115227
Globe,ALUPLANT,2024,3.4635714052660767
Globe,ALUPLANT,2025,3.527150933920848
Globe,ALURCPLANT,2010,27.296
Globe,ALURCPLANT,2011,28.378999999999998
Globe,ALURCPLANT,2012,29.463
Globe,ALURCPLANT,2013,30.546
Globe,ALURCPLANT,2014,31.629
Globe,ALURCPLANT,2015,32.712
Globe,ALURCPLANT,2016,33.796
Globe,ALURCPLANT,2017,34.879
Globe,ALURCPLANT,2018,35.962
Globe,ALURCPLANT,2019,38.203
Globe,ALURCPLANT,2020,40.512
Globe,ALURCPLANT,2021,42.888
Globe,ALURCPLANT,2022,45.332
Globe,ALURCPLANT,2023,46.551
Globe,ALURCPLANT,2024,47.77
Globe,ALURCPLANT,2025,48.988
Globe,ALURCPLANT,2026,139.464
Globe,ALURCPLANT,2027,142.849
Globe,ALURCPLANT,2028,146.234
Globe,ALURCPLANT,2029,149.62
Globe,ALURCPLANT,2030,153.005
Globe,ALURCPLANT,2031,156.39
Globe,ALURCPLANT,2032,159.775
Globe,ALURCPLANT,2033,163.161
Globe,ALURCPLANT,2034,166.546
Globe,ALURCPLANT,2035,169.931
Globe,ALURCPLANT,2036,173.316
Globe,ALURCPLANT,2037,176.702
Globe,ALURCPLANT,2038,180.087
Globe,ALURCPLANT,2039,183.472
Globe,ALURCPLANT,2040,186.857
Globe,ALURCPLANT,2041,190.243
Globe,ALURCPLANT,2042,193.628
Globe,ALURCPLANT,2043,197.013
Globe,ALURCPLANT,2044,200.399
Globe,ALURCPLANT,2045,203.784
Globe,ALURCPLANT,2046,207.16900000000004
Globe,ALURCPLANT,2047,210.55400000000003
Globe,ALURCPLANT,2048,213.94
Globe,ALURCPLANT,2049,217.325
Globe,ALURCPLANT,2050,220.71
Globe,ALURCPLANT,2051,220.71
Globe,ALURCPLANT,2052,220.71
Globe,ALURCPLANT,2053,220.71
Globe,ALURCPLANT,2054,220.71
Globe,ALURCPLANT,2055,220.71
Globe,ALURCPLANT,2056,220.71
Globe,ALURCPLANT,2057,220.71
Globe,ALURCPLANT,2058,220.71
Globe,ALURCPLANT,2059,220.71
Globe,ALURCPLANT,2060,220.71
Globe,ALURECYCLE,2010,63.975
Globe,ALURECYCLE,2011,66.514
Globe,ALURECYCLE,2012,69.0529
Globe,ALURECYCLE,2013,71.5918
Globe,ALURECYCLE,2014,74.1308
Globe,ALURECYCLE,2015,76.6697
Globe,ALURECYCLE,2016,79.2086
Globe,ALURECYCLE,2017,81.7476
Globe,ALURECYCLE,2018,84.2865
Globe,ALURECYCLE,2019,86.8255
Globe,ALURECYCLE,2020,89.3644
Globe,ALURECYCLE,2021,91.90339999999999
Globe,ALURECYCLE,2022,94.4423
Globe,ALURECYCLE,2023,96.9811
Globe,ALURECYCLE,2024,99.52010000000001
Globe,ALURECYCLE,2025,102.059
Globe,ALURECYCLE,2026,99999.00000000001
Globe,ALURECYCLE,2027,99999.0
Globe,ALURECYCLE,2028,99999.00000000001
Globe,ALURECYCLE,2029,99999.0
Globe,ALURECYCLE,2030,99999.00000000001
Globe,ALURECYCLE,2031,99998.99999999999
Globe,ALURECYCLE,2032,99998.99999999999
Globe,ALURECYCLE,2033,99999.0
Globe,ALURECYCLE,2034,99999.0
Globe,ALURECYCLE,2035,99998.99999999999
Globe,ALURECYCLE,2036,99999.0
Globe,ALURECYCLE,2037,99998.99999999999
Globe,ALURECYCLE,2038,99998.99999999999
Globe,ALURECYCLE,2039,99999.00000000003
Globe,ALURECYCLE,2040,99999.0
Globe,ALURECYCLE,2041,99999.0
Globe,ALURECYCLE,2042,99998.99999999999
Globe,ALURECYCLE,2043,99999.0
Globe,ALURECYCLE,2044,99998.99999999999
Globe,ALURECYCLE,2045,99999.0
Globe,ALURECYCLE,2046,99999.0
Globe,ALURECYCLE,2047,99999.00000000003
Globe,ALURECYCLE,2048,99999.0
Globe,ALURECYCLE,2049,99999.00000000001
Globe,ALURECYCLE,2050,99999.0
Globe,ALURECYCLE,2051,99999.0
Globe,ALURECYCLE,2052,99999.0
Globe,ALURECYCLE,2053,99999.0
Globe,ALURECYCLE,2054,99999.0
Globe,ALURECYCLE,2055,99999.0
Globe,ALURECYCLE,2056,99999.0
Globe,ALURECYCLE,2057,99999.0
Globe,ALURECYCLE,2058,99999.0
Globe,ALURECYCLE,2059,99999.0
Globe,ALURECYCLE,2060,99999.0
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6066999999999999
Globe,C1BFRDF00,2013,0.5667999999999999
Globe,C1BFRDF00,2014,0.5288000000000002
Globe,C1BFRDF00,2015,0.4927
Globe,C1BFRDF00,2016,0.45489999999999997
Globe,C1BFRDF00,2017,0.41979999999999995
Globe,C1BFRDF00,2018,0.3871
Globe,C1BFRDF00,2019,0.35680000000000006
Globe,C1BFRDF00,2020,0.32870000000000005
Globe,C1BMBRFH1,2011,0.14787322045659415
Globe,C1BMBRFH1,2012,0.32438038989243145
Globe,C1BMBRFH1,2013,1.118756751692907
Globe,C1BMBRFH1,2014,1.9503967310788404
Globe,C1BMBRFH1,2015,2.5005487777510065
Globe,C1BMBRFH1,2016,1.261547707390135
Globe,C1BMBRFH1,2017,1.8035268137705143
Globe,C1BMBRFH1,2018,2.2851076173987046
Globe,C1BMBRFH1,2019,2.7631832175872577
Globe,C1BMBRFH1,2020,3.1814022532835424
Globe,C1BMBRFN1,2010,0.26166263821485514
Globe,C1BMBRFN1,2011,0.26166263821485514
Globe,C1BMBRFN1,2012,0.26166263821485514
Globe,C1BMBRFN1,2013,0.26166263821485514
Globe,C1BMBRFN1,2014,0.26166263821485514
Globe,C1BMBRFN1,2015,0.26166263821485514
Globe,C1BMBRFN1,2016,0.26166263821485514
Globe,C1BMBRFN1,2017,0.26166263821485514
Globe,C1BMBRFN1,2018,0.26166263821485514
Globe,C1BMBRFN1,2019,0.26166263821485514
Globe,C1BMBRFN1,2020,0.26166263821485514
Globe,C1BMCHP00,2010,2.2934871360000004
Globe,C1BMCHP00,2011,2.2712920992
Globe,C1BMCHP00,2012,2.2466309472
Globe,C1BMCHP00,2013,2.2219697952
Globe,C1BMCHP00,2014,2.2688259840000002
Globe,C1BMCHP00,2015,2.330478864
Globe,C1BMCHP00,2016,3.1789274089451185
Globe,C1BMCHP00,2017,3.240580288945118
Globe,C1BMCHP00,2018,3.3194959753451183
Globe,C1BMCHP00,2019,3.3910133161451186
Globe,C1BMCHP00,2020,3.479793463345119
Globe,C1BMCHP00,2021,3.558709149745119
Globe,C1BMCHP00,2022,3.2307158281451183
Globe,C1BMCHP00,2023,2.337080050208849
Globe,C1BMCHP00,2028,0.10736264257730757
Globe,C1BMCHP00,2029,0.21529654282863356
Globe,C1BMCHP00,2030,0.21239027967663354
Globe,C1BMCHP00,2031,0.20344793151663354
Globe,C1BMCHP00,2032,0.20344793151663354
Globe,C1BMCHP00,2033,0.20344793151663354
Globe,C1BMCHP00,2034,0.20344793151663354
Globe,C1BMCHP00,2035,0.20344793151663354
Globe,C1BMHTF03,2010,14.608111702694542
Globe,C1BMHTF03,2011,14.22573770269454
Globe,C1BMHTF03,2012,13.843363702694539
Globe,C1BMHTF03,2013,13.464048694694542
Globe,C1BMHTF03,2014,13.081674694694538
Globe,C1BMHTF03,2015,12.69930069469454
Globe,C1BMHTF03,2016,12.31692669469454
Globe,C1BMHTF03,2017,11.93455269469454
Globe,C1BMHTF03,2018,11.552178694694542
Globe,C1BMHTF03,2019,11.16980469469454
Globe,C1BMHTF03,2020,10.790489686694539
Globe,C1BMHTF03,2021,10.408115686694542
Globe,C1BMHTF03,2030,0.37236703798136356
Globe,C1BMHTF03,2045,1.529496
Globe,C1BMHTF03,2046,1.8576049629612725
Globe,C1BMHTF03,2047,2.112747829722001
Globe,C1BMHTF03,2048,2.3855692792815955
Globe,C1BMHTF03,2049,2.6629560026762342
Globe,C1BMHTF03,2050,2.951356975037972
Globe,C1BMHTF03,2051,3.389015282098153
Globe,C1BMHTF03,2052,3.804935647683924
Globe,C1BMHTF03,2053,4.205540910662107
Globe,C1BMHTF03,2054,4.59839078261603
Globe,C1BMHTF03,2055,4.989036827984179
Globe,C1BMHTF03,2056,5.152425365013248
Globe,C1BMHTF03,2057,5.197085559188015
Globe,C1BMHTF03,2058,5.232037015498694
Globe,C1BMHTF03,2059,5.2611632290909345
Globe,C1BMHTF03,2060,5.283493326178306
Globe,C1BMIGPCS,2021,2.4627510972
Globe,C1BMIGPCS,2022,4.9255021944
Globe,C1BMIGPCS,2023,7.388253291600001
Globe,C1BMIGPCS,2024,9.690425670426555
Globe,C1BMIGPCS,2025,9.785705268715958
Globe,C1BMIGPCS,2026,9.888368567472888
