VALUE,BM,CO,EL,GO,HF,HY,LF,NG,NU,OC,OI,SO,WD,BMCS,COCS,NGCS
2010,0.14629999999999999,1.6526999999999998,0,0.0696,0.28527,0.9316,0.0211,1.4454,0.38148,0.0003,0,0.043300000000000005,0.19697306,0.0,0.0,0.0
2011,0.1431999999999999,1.7039721490907256,0,0.0696,0.27137,0.9558,0.02,1.4007999999999998,0.38598,0.0003,0,0.0733,0.19057306,0.0,0.0,0.0
2012,0.1401,1.6645721490907255,0,0.0696,0.2637699999999999,0.98,0.0195,1.4329,0.37878,0.0003,0,0.10319999999999999,0.18417306,0.0,0.0,0.0
2013,0.137,1.7052,0,0.0696,0.2630699999999999,1.0043,0.0194,1.4754,0.37688,0.0003,0,0.1016,0.17787306,0.0,0.0,0.0
2014,0.1411,1.7514353367497175,0,0.0696,0.2637699999999999,1.1057000000000001,0.0195,1.6223,0.38338,0.0007999999999999,0,0.1644,0.35237306,0.0,0.0,0.0
2015,0.1466,1.9068353367497177,0,0.0711,0.2601309550044297,1.2040343127975415,0.019,1.7570000000000001,0.38308,0.0007999999999999,0,0.208,0.41257306000000005,0.0,0.0,0.0
2016,0.1895618984605397,2.0473353367497173,0,0.0749,0.2815115724770506,1.2981,0.0192,1.8857,0.39832,0.0007999999999999,0,0.27290000000000003,0.48687305999999997,0.0,0.0,0.0
2017,0.19466189846053972,2.1768353367497175,0,0.0764,0.2798115724770506,1.3195999999999999,0.0191,1.9171000000000002,0.39872,0.0007999999999999,0,0.359,0.52987306,0.0,0.0,0.0
2018,0.20116189846053972,2.2868353367497174,0,0.0773,0.2837115724770506,1.3404,0.0195,2.0716,0.40482,0.0007999999999999,0,0.4454,0.57367306,0.0,0.0,0.0
2019,0.2068618984605397,2.4198353367497174,0,0.0828,0.3059115724770506,1.457,0.0196999999999999,2.2059,0.40353,0.0014,0,0.5384,0.6416710999999999,0.0,0.0,0.0
2020,0.2140618984605397,2.5284353367497174,0,0.0841,0.3244115724770506,1.4769,0.0196,2.29644847092182,0.39973,0.0014,0,0.6978998,0.7412711,0.0,0.0,0.0
2021,0.21966189846053968,2.5889353367497177,0,0.0852,0.3306115724770506,1.5725,0.0185,2.35164847092182,0.4019,0.0021,0,0.9957,0.8353636,0.1,0.1,0.1
2022,0.1885618984605397,2.6493353367497177,0,0.0965999999999999,0.3167115724770506,1.4159,0.0174999999999999,2.3071484709218204,0.496,0.0028,0,1.0663003,1.0070000000000001,0.2,0.2,0.2
2023,0.1652618984605397,2.6099353367497176,0,0.0966,0.30294157247705056,1.3359999999999999,0.0163999999999999,2.26264847092182,0.5901,0.0033999999999999,0,1.2278003,1.1,0.3,0.3,0.3
2024,0.1476618984605397,2.5703353367497175,0,0.0965999999999999,0.28974157247705057,1.3158,0.0152999999999999,2.2180484709218202,0.6842999999999999,0.0040999999999999,0,1.4259003000000001,1.1990000000000003,0.3934797016817488,0.4,0.4
2025,0.1345618984605397,2.5308353367497176,0,0.0966,0.2764415724770506,1.3466,0.0141999999999999,2.17344847092182,0.7784,0.0047,0,1.6514003,1.301,0.3973485294491074,0.4060499662905196,0.4060499662905196
2026,0.1246618984605397,2.2339353367497177,0,0.0966,0.2173415724770506,1.4096,0.0130999999999999,1.9871484709218201,0.8725,0.0069,0,1.9041003,1.4032,0.4015171723490599,0.4060499662905196,0.4060499662905196
2027,0.11736189846053971,2.0261353367497175,0,0.0966,0.2173415724770506,1.4968,0.0119999999999999,1.85644847092182,0.9667,0.0091,0,2.1723003,1.52,0.405897615962845,0.4060499662905196,0.4060499662905196
2028,0.11176189846053969,1.8807353367497175,0,0.0966,0.2173415724770506,1.5831,0.0108999999999999,1.7651484709218201,1.0608,0.0112,0,2.4520003,1.6420000000000001,0.4060499662905196,0.4060499662905196,0.4060499662905196
2029,0.10756189846053969,1.7788353367497176,0,0.0966,0.2173415724770506,1.6051,0.0097999999999999,1.7011484709218203,1.1548999999999998,0.0134,0,2.7404002999999997,1.77,0.4060499662905196,0.4060499662905196,0.4060499662905196
2030,0.1044618984605397,1.7076353367497177,0,0.0966,0.2173415724770506,1.6312,0.0093999999999999,1.6564484709218201,1.2491,0.0156,0,3.0352002999999996,1.9069999999999998,0.4060499662905196,0.4060499662905196,0.4060499662905196
2031,0.0951618984605397,1.5684353367497177,0,0.0966,0.2173415724770506,1.6247999999999998,0.0093999999999999,1.5673484709218202,1.3432,0.0201999999999999,0,3.2950003,2.053,0.4060499662905196,0.4060499662905196,0.4060499662905196
2032,0.0951618984605397,1.5684353367497177,0,0.0966,0.2173415724770506,1.6554000000000002,0.0093999999999999,1.5673484709218202,1.4374,0.0247999999999999,0,3.6131002999999997,2.2060000000000004,0.4060499662905196,0.4060499662905196,0.4060499662905196
2033,0.0951618984605397,1.5684353367497177,0,0.0966,0.2173415724770506,1.6859000000000004,0.0093999999999999,1.5673484709218202,1.5315,0.0295,0,3.9313002999999997,2.3689999999999998,0.4060499662905196,0.4060499662905196,0.4060499662905196
2034,0.0951618984605397,1.5684353367497177,0,0.0966,0.2173415724770506,1.7165000000000004,0.0093999999999999,1.5673484709218202,1.6256,0.0341,0,4.2494003,2.542,0.4060499662905196,0.4060499662905196,0.4060499662905196
2035,0.0951618984605397,1.5684353367497177,0,0.0966,0.1973415724770506,1.7471000000000003,0.0093999999999999,1.39674847092182,1.7198000000000002,0.0387,0,4.5676003000000005,2.727,0.4060499662905196,0.4060499662905196,0.4060499662905196
