REGION,TECHNOLOGY,YEAR,VALUE
Globe,C1BMCHP00,2010,0.5
Globe,C1BMCHP00,2011,0.5
Globe,C1BMCHP00,2012,0.5
Globe,C1BMCHP00,2013,0.5
Globe,C1BMCHP00,2014,0.5
Globe,C1BMCHP00,2015,0.5
Globe,C1BMCHP00,2016,0.5
Globe,C1BMCHP00,2017,0.5
Globe,C1BMCHP00,2018,0.5
Globe,C1BMCHP00,2019,0.5
Globe,C1BMCHP00,2020,0.5
Globe,C1BMCHP00,2021,0.5
Globe,C1BMCHP00,2022,0.5
Globe,C1BMCHP00,2023,0.5
Globe,C1BMCHP00,2024,0.5
Globe,C1BMCHP00,2025,0.5
Globe,C1BMCHP00,2026,0.5
Globe,C1BMCHP00,2027,0.5
Globe,C1BMCHP00,2028,0.5
Globe,C1BMCHP00,2029,0.5
Globe,C1BMCHP00,2030,0.5
Globe,C1BMCHP00,2031,0.5
Globe,C1BMCHP00,2032,0.5
Globe,C1BMCHP00,2033,0.5
Globe,C1BMCHP00,2034,0.5
Globe,C1BMCHP00,2035,0.5
Globe,C1BMCHP00,2036,0.5
Globe,C1BMCHP00,2037,0.5
Globe,C1BMCHP00,2038,0.5
Globe,C1BMCHP00,2039,0.5
Globe,C1BMCHP00,2040,0.5
Globe,C1BMCHP00,2041,0.5
Globe,C1BMCHP00,2042,0.5
Globe,C1BMCHP00,2043,0.5
Globe,C1BMCHP00,2044,0.5
Globe,C1BMCHP00,2045,0.5
Globe,C1BMCHP00,2046,0.5
Globe,C1BMCHP00,2047,0.5
Globe,C1BMCHP00,2048,0.5
Globe,C1BMCHP00,2049,0.5
Globe,C1BMCHP00,2050,0.5
Globe,C1BMCHP00,2051,0.5
Globe,C1BMCHP00,2052,0.5
Globe,C1BMCHP00,2053,0.5
Globe,C1BMCHP00,2054,0.5
Globe,C1BMCHP00,2055,0.5
Globe,C1BMCHP00,2056,0.5
Globe,C1BMCHP00,2057,0.5
Globe,C1BMCHP00,2058,0.5
Globe,C1BMCHP00,2059,0.5
Globe,C1BMCHP00,2060,0.5
Globe,C1BMCHP00,2061,0.5
Globe,C1BMCHP00,2062,0.5
Globe,C1BMCHP00,2063,0.5
Globe,C1BMCHP00,2064,0.5
Globe,C1BMCHP00,2065,0.5
Globe,C1BMCHP00,2066,0.5
Globe,C1BMCHP00,2067,0.5
Globe,C1BMCHP00,2068,0.5
Globe,C1BMCHP00,2069,0.5
Globe,C1BMCHP00,2070,0.5
Globe,C1BMSCP00,2010,0.0611
Globe,C1BMSCP00,2011,0.069
Globe,C1BMSCP00,2012,0.0769
Globe,C1BMSCP00,2013,0.0847
Globe,C1BMSCP00,2014,0.0926
Globe,C1BMSCP00,2015,0.1005
Globe,C1BMSCP00,2016,0.1083
Globe,C1BMSCP00,2017,0.1162
Globe,C1BMSCP00,2018,0.1241
Globe,C1BMSCP00,2019,0.1319
Globe,C1BMSCP00,2020,0.1398
Globe,C1BMSCP00,2021,0.1568
Globe,C1BMSCP00,2022,0.1738
Globe,C1BMSCP00,2023,0.1907
Globe,C1BMSCP00,2024,0.2077
Globe,C1BMSCP00,2025,0.2247
Globe,C1BMSCP00,2026,0.2452
Globe,C1BMSCP00,2027,0.2657
Globe,C1BMSCP00,2028,0.2861
Globe,C1BMSCP00,2029,0.3066
Globe,C1BMSCP00,2030,0.3271
Globe,C1BMSCP00,2031,0.3407
Globe,C1BMSCP00,2032,0.3542
Globe,C1BMSCP00,2033,0.3678
Globe,C1BMSCP00,2034,0.3813
Globe,C1BMSCP00,2035,0.3949
Globe,C1BMSCP00,2036,0.3964
Globe,C1BMSCP00,2037,0.3979
Globe,C1BMSCP00,2038,0.3993
Globe,C1BMSCP00,2039,0.4008
Globe,C1BMSCP00,2040,0.4023
Globe,C1BMSCP00,2041,0.4128
Globe,C1BMSCP00,2042,0.4233
Globe,C1BMSCP00,2043,0.4338
Globe,C1BMSCP00,2044,0.4443
Globe,C1BMSCP00,2045,0.4548
Globe,C1BMSCP00,2046,0.466
Globe,C1BMSCP00,2047,0.4772
Globe,C1BMSCP00,2048,0.4885
Globe,C1BMSCP00,2049,0.4997
Globe,C1BMSCP00,2050,0.5109
Globe,C1BMSCP00,2051,0.5109
Globe,C1BMSCP00,2052,0.5109
Globe,C1BMSCP00,2053,0.5109
Globe,C1BMSCP00,2054,0.5109
Globe,C1BMSCP00,2055,0.5109
Globe,C1BMSCP00,2056,0.5109
Globe,C1BMSCP00,2057,0.5109
Globe,C1BMSCP00,2058,0.5109
Globe,C1BMSCP00,2059,0.5109
Globe,C1BMSCP00,2060,0.5109
Globe,C1BMSCP00,2061,0.5109
Globe,C1BMSCP00,2062,0.5109
Globe,C1BMSCP00,2063,0.5109
Globe,C1BMSCP00,2064,0.5109
Globe,C1BMSCP00,2065,0.5109
Globe,C1BMSCP00,2066,0.5109
Globe,C1BMSCP00,2067,0.5109
Globe,C1BMSCP00,2068,0.5109
Globe,C1BMSCP00,2069,0.5109
Globe,C1BMSCP00,2070,0.5109
Globe,C1GOCVP00,2010,0.0123
Globe,C1GOCVP00,2011,0.0133
Globe,C1GOCVP00,2012,0.0144
Globe,C1GOCVP00,2013,0.0154
Globe,C1GOCVP00,2014,0.0165
Globe,C1GOCVP00,2015,0.0175
Globe,C1GOCVP00,2016,0.0185
Globe,C1GOCVP00,2017,0.0196
Globe,C1GOCVP00,2018,0.0206
Globe,C1GOCVP00,2019,0.0216
Globe,C1GOCVP00,2020,0.0227
Globe,C1GOCVP00,2021,0.0254
Globe,C1GOCVP00,2022,0.0282
Globe,C1GOCVP00,2023,0.0309
Globe,C1GOCVP00,2024,0.0337
Globe,C1GOCVP00,2025,0.0364
Globe,C1GOCVP00,2026,0.0392
Globe,C1GOCVP00,2027,0.042
Globe,C1GOCVP00,2028,0.0448
Globe,C1GOCVP00,2029,0.0476
Globe,C1GOCVP00,2030,0.0504
Globe,C1GOCVP00,2031,0.0536
Globe,C1GOCVP00,2032,0.0568
Globe,C1GOCVP00,2033,0.0601
Globe,C1GOCVP00,2034,0.0633
Globe,C1GOCVP00,2035,0.0665
Globe,C1GOCVP00,2036,0.0704
Globe,C1GOCVP00,2037,0.0743
Globe,C1GOCVP00,2038,0.0782
Globe,C1GOCVP00,2039,0.0821
Globe,C1GOCVP00,2040,0.086
Globe,C1GOCVP00,2041,0.0919
Globe,C1GOCVP00,2042,0.0978
Globe,C1GOCVP00,2043,0.1037
Globe,C1GOCVP00,2044,0.1096
Globe,C1GOCVP00,2045,0.1155
Globe,C1GOCVP00,2046,0.1202
Globe,C1GOCVP00,2047,0.1249
Globe,C1GOCVP00,2048,0.1297
Globe,C1GOCVP00,2049,0.1344
Globe,C1GOCVP00,2050,0.1391
Globe,C1GOCVP00,2051,0.1391
Globe,C1GOCVP00,2052,0.1391
Globe,C1GOCVP00,2053,0.1391
Globe,C1GOCVP00,2054,0.1391
Globe,C1GOCVP00,2055,0.1391
Globe,C1GOCVP00,2056,0.1391
Globe,C1GOCVP00,2057,0.1391
Globe,C1GOCVP00,2058,0.1391
Globe,C1GOCVP00,2059,0.1391
Globe,C1GOCVP00,2060,0.1391
Globe,C1GOCVP00,2061,0.1391
Globe,C1GOCVP00,2062,0.1391
Globe,C1GOCVP00,2063,0.1391
Globe,C1GOCVP00,2064,0.1391
Globe,C1GOCVP00,2065,0.1391
Globe,C1GOCVP00,2066,0.1391
Globe,C1GOCVP00,2067,0.1391
Globe,C1GOCVP00,2068,0.1391
Globe,C1GOCVP00,2069,0.1391
Globe,C1GOCVP00,2070,0.1391
Globe,C1HYDMP00,2010,0.9626
Globe,C1HYDMP00,2011,0.989
Globe,C1HYDMP00,2012,1.0153
Globe,C1HYDMP00,2013,1.0417
Globe,C1HYDMP00,2014,1.0681
Globe,C1HYDMP00,2015,1.0944
Globe,C1HYDMP00,2016,1.1208
Globe,C1HYDMP00,2017,1.1472
Globe,C1HYDMP00,2018,1.1735
Globe,C1HYDMP00,2019,1.1999
Globe,C1HYDMP00,2020,1.2263
Globe,C1HYDMP00,2021,1.2582
Globe,C1HYDMP00,2022,1.2902
Globe,C1HYDMP00,2023,1.3221
Globe,C1HYDMP00,2024,1.3541
Globe,C1HYDMP00,2025,1.386
Globe,C1HYDMP00,2026,1.4145
Globe,C1HYDMP00,2027,1.443
Globe,C1HYDMP00,2028,1.4716
