REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2047,0.30695288
Globe,ALUPLANT,2048,0.22879954
Globe,ALUPLANT,2049,0.40312867
Globe,ALUPLANT,2050,0.71785174
Globe,ALUPLANT,2051,0.29892315
Globe,ALUPLANT,2052,0.79431743
Globe,ALUPLANT,2053,0.900909
Globe,ALUPLANT,2054,1.0006823
Globe,ALUPLANT,2055,1.0954731
Globe,ALUPLANT,2056,1.1837466
Globe,ALUPLANT,2057,1.2675387
Globe,ALUPLANT,2058,1.3461674
Globe,ALUPLANT,2059,1.4192298
Globe,ALUPLANT,2060,3.013507
Globe,ALUPLANT,2061,1.4947394
Globe,ALUPLANT,2062,3.0361232
Globe,ALUPLANT,2063,2.5006497
Globe,ALUPLANT,2064,2.3636774
Globe,ALUPLANT,2065,5.3594739
Globe,ALUPLANT,2067,0.36547309
Globe,ALUPLANT,2068,3.8272849
Globe,ALUPLANT,2069,5.4807329
Globe,ALUPLANT,2070,8.5537852
Globe,C1BFRDF00,2060,-4.4800994e-07
Globe,C1BFRDF00,2064,-6.589434e-06
Globe,C1BFRDF00,2065,-2.1839122e-07
Globe,C1BFRDF00,2070,1.3353683e-05
Globe,C1BMHTF03,2062,-2.134538e-08
Globe,C1BMIGPCS,2042,0.26777407
Globe,C1BMIGPCS,2051,6.6801567
Globe,C1BMIGPCS,2055,2.3254291
Globe,C1BMIGPCS,2060,1.2012474
Globe,C1BMIGPCS,2061,0.52165756
Globe,C1BMIGPCS,2062,5.718332
Globe,C1BMIGPCS,2063,1.5105034
Globe,C1BMIGPCS,2064,5.4146765
Globe,C1BMIGPCS,2065,85.395296
Globe,C1BMIGPCS,2069,5.5072735
Globe,C1BMIGPCS,2070,6.2695569
Globe,C1BMLP000,2062,1.1018275e-08
Globe,C1BMLP000,2064,-1.7127927e-06
Globe,C1BMLP000,2065,-1.8297187e-06
Globe,C1BMLP000,2067,3.8182953e-06
Globe,C1BMSCP00,2048,-4.1429105e-06
Globe,C1BMSCP00,2060,2.1750857e-05
Globe,C1CO00I00,2048,1.9122232e-05
Globe,C1CO00I00,2049,2.1636346e-05
Globe,C1CO00I00,2050,2.1989174e-05
Globe,C1CO00I00,2051,2.23252e-05
Globe,C1CO00I00,2052,2.2645225e-05
Globe,C1CO00I00,2053,2.2950011e-05
Globe,C1CO00I00,2054,2.3240283e-05
Globe,C1CO00I00,2055,2.3516733e-05
Globe,C1CO00I00,2056,2.3780018e-05
Globe,C1CO00I00,2057,2.4030766e-05
Globe,C1CO00I00,2058,2.4269574e-05
Globe,C1CO00I00,2059,2.449701e-05
Globe,C1CO00I00,2060,2.4713615e-05
Globe,C1CO00I00,2061,5.6328222e-06
Globe,C1CO00I00,2062,5.8450893e-06
Globe,C1CO00I00,2064,5.9987452e-06
