REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,0.2508666840115974
Globe,ALUPLANT,2011,0.3346628343501067
Globe,ALUPLANT,2012,0.5724573783526253
Globe,ALUPLANT,2013,0.7355444318216984
Globe,ALUPLANT,2014,1.010520518714794
Globe,ALUPLANT,2015,1.283664854226897
Globe,ALUPLANT,2016,1.555202231672112
Globe,ALUPLANT,2017,1.8249461755912155
Globe,ALUPLANT,2018,2.0931690732185073
Globe,ALUPLANT,2019,2.4362801788087545
Globe,ALUPLANT,2020,3.0796939857321055
Globe,ALUPLANT,2021,3.1587687931700072
Globe,ALUPLANT,2022,3.2366309580785435
Globe,ALUPLANT,2023,3.4517010698339683
Globe,ALUPLANT,2024,3.4517010698339683
Globe,ALUPLANT,2025,3.4806019958204413
Globe,ALUPLANT,2026,3.651172007722007
Globe,ALUPLANT,2027,3.821652713038964
Globe,ALUPLANT,2028,4.065139483569424
Globe,ALUPLANT,2029,4.428141394791737
Globe,ALUPLANT,2030,4.554063416739034
Globe,ALUPLANT,2031,4.671501952993779
Globe,ALUPLANT,2032,4.671501952993779
Globe,ALUPLANT,2033,4.841058974496665
Globe,ALUPLANT,2034,5.010349714216037
Globe,ALUPLANT,2035,5.1796165202907325
Globe,ALUPLANT,2036,5.274376980468029
Globe,ALUPLANT,2037,5.394080292281565
Globe,ALUPLANT,2038,5.30601954132252
Globe,ALUPLANT,2039,5.221662891336909
Globe,ALUPLANT,2040,5.231851808403779
Globe,ALUPLANT,2041,5.24191274507661
Globe,ALUPLANT,2042,5.251829085077345
Globe,ALUPLANT,2043,5.288653433805188
Globe,ALUPLANT,2044,5.614977650279993
Globe,ALUPLANT,2045,5.761385772639262
Globe,ALUPLANT,2046,5.77170213548956
Globe,ALUPLANT,2047,5.781873325785572
Globe,ALUPLANT,2048,5.791942279816968
Globe,ALUPLANT,2049,5.801870687599173
Globe,ALUPLANT,2050,5.811701031043168
Globe,ALUPLANT,2051,5.811701031043167
Globe,ALUPLANT,2052,5.811701031043169
Globe,ALUPLANT,2053,5.811701031043169
Globe,ALUPLANT,2054,5.811701031043167
Globe,ALUPLANT,2055,5.811701031043169
Globe,ALUPLANT,2056,5.811701031043169
Globe,ALUPLANT,2057,5.811701031043169
Globe,ALUPLANT,2058,5.811701031043167
Globe,ALUPLANT,2059,5.811701031043169
Globe,ALUPLANT,2060,5.811701031043169
Globe,C1BFRDF00,2010,0.5606000000000001
Globe,C1BFRDF00,2011,0.5836000000000002
Globe,C1BFRDF00,2012,0.6067000000000001
Globe,C1BFRDF00,2013,0.6067000000000001
Globe,C1BFRDF00,2014,0.6067000000000001
Globe,C1BFRDF00,2015,0.6067000000000001
Globe,C1BFRDF00,2016,0.6067000000000001
Globe,C1BFRDF00,2017,0.6067000000000001
Globe,C1BFRDF00,2018,0.6067000000000001
Globe,C1BFRDF00,2019,0.6067000000000001
Globe,C1BFRDF00,2020,0.6067000000000001
Globe,C1BFRDF00,2021,0.6067000000000001
Globe,C1BFRDF00,2022,0.0461
Globe,C1BFRDF00,2023,0.02309999999999987
Globe,C1BMBRFH1,2022,0.09143480824093864
Globe,C1BMBRFH1,2023,0.09143480824093864
Globe,C1BMBRFH1,2024,0.09143480824093864
Globe,C1BMBRFH1,2025,0.09999999999999999
Globe,C1BMBRFH1,2026,0.09999999999999999
Globe,C1BMBRFH1,2027,0.09999999999999999
Globe,C1BMBRFH1,2028,0.09999999999999999
Globe,C1BMBRFH1,2029,0.09999999999999999
Globe,C1BMBRFH1,2030,0.09999999999999999
Globe,C1BMBRFH1,2031,0.09999999999999999
Globe,C1BMBRFH1,2032,0.09999999999999999
Globe,C1BMBRFH1,2033,0.09999999999999999
Globe,C1BMBRFH1,2034,0.09999999999999999
Globe,C1BMBRFH1,2035,0.09999999999999999
Globe,C1BMBRFH1,2036,0.09999999999999999
Globe,C1BMBRFH1,2037,0.09999999999999999
Globe,C1BMBRFH1,2038,0.09999999999999999
Globe,C1BMBRFH1,2039,0.09999999999999999
Globe,C1BMBRFH1,2040,0.09999999999999999
Globe,C1BMBRFH1,2041,0.09999999999999999
Globe,C1BMBRFH1,2042,0.09999999999999999
Globe,C1BMBRFH1,2043,0.09999999999999999
Globe,C1BMBRFH1,2044,0.09999999999999999
Globe,C1BMBRFH1,2045,0.09999999999999999
Globe,C1BMBRFH1,2046,0.09999999999999999
Globe,C1BMBRFH1,2047,0.09999999999999999
Globe,C1BMBRFH1,2048,0.09999999999999999
Globe,C1BMBRFH1,2049,0.09999999999999999
Globe,C1BMBRFH1,2050,0.09999999999999999
Globe,C1BMBRFH1,2051,0.09999999999999999
Globe,C1BMBRFH1,2052,0.09999999999999999
Globe,C1BMBRFH1,2053,0.09999999999999999
Globe,C1BMBRFH1,2054,0.09999999999999999
Globe,C1BMBRFH1,2055,0.09999999999999999
Globe,C1BMBRFH1,2056,0.09999999999999999
Globe,C1BMBRFH1,2057,0.09999999999999999
Globe,C1BMBRFH1,2058,0.09999999999999999
Globe,C1BMBRFH1,2059,0.09999999999999999
Globe,C1BMBRFH1,2060,0.09999999999999999
Globe,C1BMBRFN1,2017,0.03966305072493605
Globe,C1BMBRFN1,2018,0.11470527423905158
Globe,C1BMBRFN1,2019,0.11470527423905158
Globe,C1BMBRFN1,2020,0.11470527423905158
Globe,C1BMBRFN1,2021,0.11470527423905158
Globe,C1BMBRFN1,2022,0.11470527423905158
Globe,C1BMBRFN1,2023,0.11470527423905158
Globe,C1BMBRFN1,2024,0.11470527423905158
Globe,C1BMBRFN1,2025,0.11470527423905158
Globe,C1BMBRFN1,2026,0.11470527423905158
Globe,C1BMBRFN1,2027,0.11470527423905158
Globe,C1BMBRFN1,2028,0.11470527423905158
Globe,C1BMBRFN1,2029,0.11470527423905158
Globe,C1BMBRFN1,2030,0.11470527423905158
Globe,C1BMBRFN1,2031,0.11470527423905158
Globe,C1BMBRFN1,2032,0.07504222351411553
Globe,C1BMCHP00,2019,0.01607061173742896
Globe,C1BMCHP00,2020,0.07270540981280725
Globe,C1BMCHP00,2021,0.1058694959630204
Globe,C1BMCHP00,2022,0.1658694959630204
Globe,C1BMCHP00,2023,0.22130574809542572
Globe,C1BMCHP00,2024,0.27768983490877774
Globe,C1BMCHP00,2025,0.32579500190882454
Globe,C1BMCHP00,2026,0.3478455317922076
Globe,C1BMCHP00,2027,0.3656213983459967
Globe,C1BMCHP00,2028,0.38307181172163174
Globe,C1BMCHP00,2029,0.40023644071414055
Globe,C1BMCHP00,2030,0.4172233045843335
Globe,C1BMCHP00,2031,0.4326230927109846
Globe,C1BMCHP00,2032,0.4666670678422009
Globe,C1BMCHP00,2033,0.5217131794074941
Globe,C1BMCHP00,2034,0.5408962087020884
Globe,C1BMCHP00,2035,0.6008962087020884
Globe,C1BMCHP00,2036,0.616545169656562
Globe,C1BMCHP00,2037,0.6279921103494032
Globe,C1BMCHP00,2038,0.6400210465799367
Globe,C1BMCHP00,2039,0.6518192449531577
