REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,132.44363718615696
Globe,ALUPLANT,2011,137.8165596970023
Globe,ALUPLANT,2012,143.19569238504405
Globe,ALUPLANT,2013,148.5825227096272
Globe,ALUPLANT,2014,153.97524936871562
Globe,ALUPLANT,2015,159.3752089291686
Globe,ALUPLANT,2016,164.78175363899985
Globe,ALUPLANT,2017,170.19380825030777
Globe,ALUPLANT,2018,175.61261288253957
Globe,ALUPLANT,2019,181.03682250665767
Globe,ALUPLANT,2020,186.4675072158762
Globe,ALUPLANT,2021,188.44747978016235
Globe,ALUPLANT,2022,190.42742041854362
Globe,ALUPLANT,2023,192.40883703477266
Globe,ALUPLANT,2024,194.39013710965284
Globe,ALUPLANT,2025,196.37283896325067
Globe,ALUPLANT,2026,198.35623969980693
Globe,ALUPLANT,2027,200.33947521502608
Globe,ALUPLANT,2028,202.3241304666209
Globe,ALUPLANT,2029,204.3085389393217
Globe,ALUPLANT,2030,206.294398003428
Globe,ALUPLANT,2031,208.28084206526802
Globe,ALUPLANT,2032,210.2670475565569
Globe,ALUPLANT,2033,212.25457304279445
Globe,ALUPLANT,2034,214.24188452940908
Globe,ALUPLANT,2035,216.23055028732585
Globe,ALUPLANT,2036,218.21974567548256
Globe,ALUPLANT,2037,220.20858557109435
Globe,ALUPLANT,2038,222.19880754693997
Globe,ALUPLANT,2039,224.18870215867082
Globe,ALUPLANT,2040,226.17991204020058
Globe,ALUPLANT,2041,228.17155054151823
Globe,ALUPLANT,2042,230.16288016565846
Globe,ALUPLANT,2043,232.15550426820892
Globe,ALUPLANT,2044,234.14774587542902
Globe,ALUPLANT,2045,236.14121626958038
Globe,ALUPLANT,2046,238.1351775958577
Globe,ALUPLANT,2047,240.12872618977156
Globe,ALUPLANT,2048,242.12353838601845
Globe,ALUPLANT,2049,244.11786559448078
Globe,ALUPLANT,2050,246.11349833118408
Globe,ALUPLANT,2051,246.11349833118408
Globe,ALUPLANT,2052,246.11349833118408
Globe,ALUPLANT,2053,246.11349833118408
Globe,ALUPLANT,2054,246.11349833118408
Globe,ALUPLANT,2055,246.11349833118408
Globe,ALUPLANT,2056,246.11349833118408
Globe,ALUPLANT,2057,246.11349833118408
Globe,ALUPLANT,2058,246.11349833118408
Globe,ALUPLANT,2059,246.11349833118408
Globe,ALUPLANT,2060,246.11349833118408
Globe,C1BFRDF00,2010,29.898664798
Globe,C1BFRDF00,2011,31.125331388
Globe,C1BFRDF00,2012,32.357331310999996
Globe,C1BFRDF00,2013,30.229331443999996
Globe,C1BFRDF00,2014,28.202664904000002
Globe,C1BFRDF00,2015,26.277331691
Globe,C1BFRDF00,2016,24.261331817
Globe,C1BFRDF00,2017,22.389331933999998
Globe,C1BFRDF00,2018,20.645332042999996
Globe,C1BFRDF00,2019,26.75157294142366
Globe,C1BFRDF00,2020,17.530665571
Globe,C1BFRDF00,2021,25.859848664532937
Globe,C1BFRDF00,2022,2.4586665129999936
Globe,C1BFRDF00,2023,1.2319999230001606
Globe,C1BMBRFH1,2010,0.00013287110326936876
Globe,C1BMBRFH1,2011,0.00013565688555825718
Globe,C1BMBRFH1,2012,0.00013853358697499192
Globe,C1BMBRFH1,2013,0.00014586613656014134
Globe,C1BMBRFH1,2014,0.00014882506932740306
