REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,3.9591
Globe,ALUPLANT,2011,3.9809537917351214
Globe,ALUPLANT,2012,4.101154125408132
Globe,ALUPLANT,2013,4.2195444318216975
Globe,ALUPLANT,2014,4.336120518714794
Globe,ALUPLANT,2015,4.450964854226898
Globe,ALUPLANT,2016,4.564102231672112
Globe,ALUPLANT,2017,4.675546175591217
Globe,ALUPLANT,2018,4.785369073218506
Globe,ALUPLANT,2019,4.893574840427782
Globe,ALUPLANT,2020,5.000230807322048
Globe,ALUPLANT,2021,5.013401078252465
Globe,ALUPLANT,2022,5.026362707503423
Globe,ALUPLANT,2023,5.039161364784549
Globe,ALUPLANT,2024,5.051759437502039
Globe,ALUPLANT,2025,5.064201995820441
Globe,ALUPLANT,2026,5.076472007722008
Globe,ALUPLANT,2027,5.088552713038964
Globe,ALUPLANT,2028,5.100488319601411
Globe,ALUPLANT,2029,5.112241641517016
Globe,ALUPLANT,2030,5.1238563344786305
Globe,ALUPLANT,2031,5.135315359439016
Globe,ALUPLANT,2032,5.146601952993779
Globe,ALUPLANT,2033,5.157758974496665
Globe,ALUPLANT,2034,5.168749714216039
Globe,ALUPLANT,2035,5.179616520290734
Globe,ALUPLANT,2036,5.190342404958554
Globe,ALUPLANT,2037,5.200910656965947
Globe,ALUPLANT,2038,5.2113628853501055
Globe,ALUPLANT,2039,5.221662891336909
Globe,ALUPLANT,2040,5.231851808403779
Globe,ALUPLANT,2041,5.24191274507661
Globe,ALUPLANT,2042,5.251829085077346
Globe,ALUPLANT,2043,5.261641272867911
Globe,ALUPLANT,2044,5.271313644164759
Globe,ALUPLANT,2045,5.761385772639262
Globe,ALUPLANT,2046,5.771702135489561
Globe,ALUPLANT,2047,5.781873325785573
Globe,ALUPLANT,2048,5.7919422798169675
Globe,ALUPLANT,2049,5.801870687599172
Globe,ALUPLANT,2050,5.811701031043168
Globe,ALUPLANT,2051,5.811701031043168
Globe,ALUPLANT,2052,5.811701031043167
Globe,ALUPLANT,2053,5.811701031043167
Globe,ALUPLANT,2054,5.811701031043167
Globe,ALUPLANT,2055,5.811701031043167
Globe,ALUPLANT,2056,5.811701031043167
Globe,ALUPLANT,2057,5.811701031043167
Globe,ALUPLANT,2058,5.811701031043167
Globe,ALUPLANT,2059,5.811701031043167
Globe,ALUPLANT,2060,5.811701031043168
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836000000000001
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.6067
Globe,C1BFRDF00,2014,0.6067
Globe,C1BFRDF00,2015,0.6067
Globe,C1BFRDF00,2016,0.6067
Globe,C1BFRDF00,2017,0.6067
Globe,C1BFRDF00,2018,0.6067
Globe,C1BFRDF00,2019,0.6067
Globe,C1BFRDF00,2020,0.6067
Globe,C1BFRDF00,2021,0.6067
Globe,C1BFRDF00,2022,0.04609999999999999
Globe,C1BFRDF00,2023,0.023099999999999902
Globe,C1BMBRFH1,2010,0.7828
Globe,C1BMBRFH1,2011,0.7306
Globe,C1BMBRFH1,2012,0.6784
Globe,C1BMBRFH1,2013,0.6263
Globe,C1BMBRFH1,2014,0.5741
Globe,C1BMBRFH1,2015,0.5219
Globe,C1BMBRFH1,2016,0.4697
Globe,C1BMBRFH1,2017,0.4175
Globe,C1BMBRFH1,2018,0.3653
Globe,C1BMBRFH1,2019,0.3131
Globe,C1BMBRFH1,2020,0.2609
Globe,C1BMBRFH1,2021,0.2088
Globe,C1BMBRFH1,2022,0.23318706263542655
Globe,C1BMBRFH1,2023,0.18098706263542658
Globe,C1BMBRFH1,2024,0.12878706263542655
Globe,C1BMBRFH1,2025,0.10000000000000014
Globe,C1BMBRFH1,2026,0.10000000000000014
Globe,C1BMBRFH1,2027,0.10000000000000014
Globe,C1BMBRFH1,2028,0.10000000000000014
Globe,C1BMBRFH1,2029,0.10000000000000014
Globe,C1BMBRFH1,2030,0.10000000000000014
Globe,C1BMBRFH1,2031,0.10000000000000014
Globe,C1BMBRFH1,2032,0.10000000000000014
Globe,C1BMBRFH1,2033,0.10000000000000014
Globe,C1BMBRFH1,2034,0.10000000000000014
Globe,C1BMBRFH1,2035,0.10000000000000014
Globe,C1BMBRFH1,2036,0.10000000000000014
Globe,C1BMBRFH1,2037,0.1
Globe,C1BMBRFH1,2038,0.1
Globe,C1BMBRFH1,2039,0.1
Globe,C1BMBRFH1,2040,0.1
Globe,C1BMBRFH1,2041,0.1
Globe,C1BMBRFH1,2042,0.1
Globe,C1BMBRFH1,2043,0.1
Globe,C1BMBRFH1,2044,0.1
Globe,C1BMBRFH1,2045,0.1
Globe,C1BMBRFH1,2046,0.1
Globe,C1BMBRFH1,2047,0.1
Globe,C1BMBRFH1,2048,0.1
Globe,C1BMBRFH1,2049,0.1
Globe,C1BMBRFH1,2050,0.1
Globe,C1BMBRFH1,2051,0.1
Globe,C1BMBRFH1,2052,0.1
Globe,C1BMBRFH1,2053,0.1
Globe,C1BMBRFH1,2054,0.1
Globe,C1BMBRFH1,2055,0.1
Globe,C1BMBRFH1,2056,0.1
Globe,C1BMBRFH1,2057,0.1
Globe,C1BMBRFH1,2058,0.1
Globe,C1BMBRFH1,2059,0.1
Globe,C1BMBRFH1,2060,0.1
Globe,C1BMBRFN1,2017,0.03966305072493599
Globe,C1BMBRFN1,2018,0.1147052742390505
Globe,C1BMBRFN1,2019,0.19110268900831495
Globe,C1BMBRFN1,2020,0.2441306678196135
Globe,C1BMBRFN1,2021,0.2441306678196135
Globe,C1BMBRFN1,2022,0.2441306678196135
Globe,C1BMBRFN1,2023,0.2441306678196135
Globe,C1BMBRFN1,2024,0.2441306678196135
Globe,C1BMBRFN1,2025,0.2441306678196135
Globe,C1BMBRFN1,2026,0.2441306678196135
Globe,C1BMBRFN1,2027,0.2441306678196135
Globe,C1BMBRFN1,2028,0.2441306678196135
Globe,C1BMBRFN1,2029,0.2441306678196135
Globe,C1BMBRFN1,2030,0.2441306678196135
Globe,C1BMBRFN1,2031,0.2441306678196135
Globe,C1BMBRFN1,2032,0.20446761709467753
Globe,C1BMBRFN1,2033,0.12942539358056304
Globe,C1BMBRFN1,2034,0.05302797881129856
Globe,C1BMCHP00,2010,0.033
Globe,C1BMCHP00,2011,0.0321
Globe,C1BMCHP00,2012,0.0311
Globe,C1BMCHP00,2013,0.0301
Globe,C1BMCHP00,2014,0.0291
Globe,C1BMCHP00,2015,0.0282
Globe,C1BMCHP00,2016,0.0272
Globe,C1BMCHP00,2017,0.0262
Globe,C1BMCHP00,2018,0.0253
Globe,C1BMCHP00,2019,0.0243
Globe,C1BMCHP00,2020,0.023857176686782635
Globe,C1BMCHP00,2021,0.07578775722730034
Globe,C1BMCHP00,2022,0.13488775722730034
Globe,C1BMCHP00,2023,0.18916031642615547
Globe,C1BMCHP00,2024,0.24437968401797383
Globe,C1BMCHP00,2025,0.2828809674121042
Globe,C1BMCHP00,2026,0.31398898846065665
Globe,C1BMCHP00,2027,0.3203186674284117
Globe,C1BMCHP00,2028,0.33657288165827665
Globe,C1BMCHP00,2029,0.3526400618289276
Globe,C1BMCHP00,2030,0.36842821522344865
Globe,C1BMCHP00,2031,0.3894003547183458
Globe,C1BMCHP00,2032,0.4257930629129782
Globe,C1BMCHP00,2033,0.4847930629129782
Globe,C1BMCHP00,2034,0.5437930629129782
Globe,C1BMCHP00,2035,0.6027930629129783
Globe,C1BMCHP00,2036,0.6243451696565624
Globe,C1BMCHP00,2037,0.6347921103494032
Globe,C1BMCHP00,2038,0.645821046579937
Globe,C1BMCHP00,2039,0.6567192449531579
Globe,C1BMCHP00,2040,0.6667297433388423
Globe,C1BMCHP00,2041,0.6773754099337137
Globe,C1BMCHP00,2042,0.6878917026883956
Globe,C1BMCHP00,2043,0.694944126747468
Globe,C1BMCHP00,2044,0.693944126747468
Globe,C1BMCHP00,2045,0.693944126747468
Globe,C1BMCHP00,2046,0.693944126747468
Globe,C1BMCHP00,2047,0.693944126747468
Globe,C1BMCHP00,2048,0.693944126747468
Globe,C1BMCHP00,2049,0.693944126747468
Globe,C1BMCHP00,2050,0.693944126747468
Globe,C1BMCHP00,2051,0.693944126747468
Globe,C1BMCHP00,2052,0.693944126747468
Globe,C1BMCHP00,2053,0.693944126747468
Globe,C1BMCHP00,2054,0.693944126747468
Globe,C1BMCHP00,2055,0.7075358390903772
Globe,C1BMCHP00,2056,0.7135088266982816
Globe,C1BMCHP00,2057,0.6700475617753228
Globe,C1BMCHP00,2058,0.6316365258323572
Globe,C1BMCHP00,2059,0.6345997944598942
Globe,C1BMCHP00,2060,0.595198511065764
Globe,C1BMHTF03,2010,0.2497
Globe,C1BMHTF03,2011,0.2372
Globe,C1BMHTF03,2012,0.2247
Globe,C1BMHTF03,2013,0.2123
Globe,C1BMHTF03,2014,0.1998
Globe,C1BMHTF03,2015,0.1873
Globe,C1BMHTF03,2016,0.1748
Globe,C1BMHTF03,2017,0.1623
Globe,C1BMHTF03,2018,0.1498
Globe,C1BMHTF03,2019,0.1373
Globe,C1BMHTF03,2020,0.1249
Globe,C1BMHTF03,2021,0.1124
Globe,C1BMHTF03,2022,0.0999
Globe,C1BMHTF03,2023,0.0874
Globe,C1BMHTF03,2024,0.0749
Globe,C1BMHTF03,2025,0.0624
Globe,C1BMHTF03,2026,0.0624
Globe,C1BMHTF03,2027,0.05
Globe,C1BMHTF03,2028,0.05
Globe,C1BMHTF03,2029,0.05
Globe,C1BMHTF03,2030,0.05
Globe,C1BMHTF03,2031,0.05
Globe,C1BMHTF03,2032,0.05
Globe,C1BMHTF03,2033,0.05
Globe,C1BMHTF03,2034,0.05
Globe,C1BMHTF03,2035,0.05
Globe,C1BMHTF03,2036,0.05
Globe,C1BMHTF03,2037,0.05
Globe,C1BMHTF03,2038,0.05
Globe,C1BMHTF03,2039,0.05
Globe,C1BMHTF03,2040,0.05
Globe,C1BMHTF03,2041,0.05
Globe,C1BMHTF03,2042,0.05
Globe,C1BMHTF03,2043,0.05
Globe,C1BMHTF03,2044,0.05
Globe,C1BMHTF03,2045,0.05
Globe,C1BMHTF03,2046,0.05
Globe,C1BMHTF03,2047,0.05
Globe,C1BMHTF03,2048,0.05
Globe,C1BMHTF03,2049,0.05
Globe,C1BMHTF03,2050,0.05000000000000001
Globe,C1BMHTF03,2051,0.05000000000000001
Globe,C1BMHTF03,2052,0.05000000000000001
Globe,C1BMHTF03,2053,0.05000000000000001
Globe,C1BMHTF03,2054,0.05000000000000001
Globe,C1BMHTF03,2055,0.05000000000000001
Globe,C1BMHTF03,2056,0.05000000000000001
Globe,C1BMHTF03,2057,0.05000000000000001
Globe,C1BMHTF03,2058,0.05000000000000001
Globe,C1BMHTF03,2059,0.05000000000000001
Globe,C1BMHTF03,2060,0.05000000000000001
Globe,C1BMIGPCS,2044,0.00813956010779465
Globe,C1BMIGPCS,2045,0.016220918011525524
Globe,C1BMIGPCS,2046,0.016220918011525524
Globe,C1BMIGPCS,2047,0.016220918011525524
Globe,C1BMIGPCS,2048,0.023111372821650163
Globe,C1BMIGPCS,2049,0.0530005196006686
Globe,C1BMIGPCS,2050,0.061302104625783005
Globe,C1BMIGPCS,2051,0.061302104625783005
Globe,C1BMIGPCS,2052,0.06367307357600915
Globe,C1BMIGPCS,2053,0.06412952183190766
Globe,C1BMIGPCS,2054,0.06412952183190766
Globe,C1BMIGPCS,2055,0.06412952183190766
Globe,C1BMIGPCS,2056,0.08794215273320172
Globe,C1BMIGPCS,2057,0.15045541744146143
Globe,C1BMIGPCS,2058,0.21698568917113228
Globe,C1BMIGPCS,2059,0.22800252823658737
Globe,C1BMIGPCS,2060,0.22800252823658737
Globe,C1BMLP000,2010,6.472425191489362
Globe,C1BMLP000,2011,6.6874376323404245
Globe,C1BMLP000,2012,6.899604099574468
Globe,C1BMLP000,2013,6.755604099574468
Globe,C1BMLP000,2014,6.611604099574468
Globe,C1BMLP000,2015,6.4676040995744675
Globe,C1BMLP000,2016,6.323604099574467
Globe,C1BMLP000,2017,6.179604099574467
Globe,C1BMLP000,2018,6.035604099574467
Globe,C1BMLP000,2019,5.891604099574467
Globe,C1BMLP000,2020,5.747604099574468
Globe,C1BMLP000,2021,5.603604099574468
Globe,C1BMLP000,2022,5.4596040995744675
Globe,C1BMLP000,2023,5.315604099574467
Globe,C1BMLP000,2024,5.171604099574468
Globe,C1BMLP000,2025,5.027604099574468
Globe,C1BMLP000,2026,4.883604099574468
Globe,C1BMLP000,2027,4.739604099574468
Globe,C1BMLP000,2028,4.595604099574468
Globe,C1BMLP000,2029,4.4516040995744675
Globe,C1BMLP000,2030,4.307604099574467
Globe,C1BMLP000,2031,4.163604099574467
Globe,C1BMLP000,2032,4.019604099574468
Globe,C1BMLP000,2033,3.8756040995744674
Globe,C1BMLP000,2034,3.7316040995744677
Globe,C1BMLP000,2035,0.715178908085106
Globe,C1BMLP000,2036,0.3561664672340426
Globe,C1BMSCP00,2010,0.0533
Globe,C1BMSCP00,2011,0.0511
Globe,C1BMSCP00,2012,0.049
Globe,C1BMSCP00,2013,0.0469
Globe,C1BMSCP00,2014,0.0447
Globe,C1BMSCP00,2015,0.0426
Globe,C1BMSCP00,2016,0.0405
Globe,C1BMSCP00,2017,0.0383
Globe,C1BMSCP00,2018,0.0362
Globe,C1BMSCP00,2019,0.0341
Globe,C1BMSCP00,2020,0.032
Globe,C1BMSCP00,2021,0.0298
Globe,C1BMSCP00,2022,0.0277
Globe,C1BMSCP00,2023,0.0256
Globe,C1BMSCP00,2024,0.0234
Globe,C1BMSCP00,2025,0.0213
Globe,C1BMSCP00,2026,0.0192
Globe,C1BMSCP00,2027,0.017
Globe,C1BMSCP00,2028,0.0149
Globe,C1BMSCP00,2029,0.0128
Globe,C1BMSCP00,2030,0.0107
Globe,C1BMSCP00,2031,0.0085
Globe,C1BMSCP00,2032,0.0064
Globe,C1BMSCP00,2033,0.0043
Globe,C1BMSCP00,2034,0.0021
Globe,C1CO00I00,2010,139.2476
Globe,C1CO00I00,2011,140.3512
Globe,C1CO00I00,2012,142.66175691119176
Globe,C1CO00I00,2013,143.00357608584798
Globe,C1CO00I00,2014,143.4612765431379
Globe,C1CO00I00,2015,146.9690900993596
Globe,C1CO00I00,2016,150.6544118029888
Globe,C1CO00I00,2017,154.54005076877675
Globe,C1CO00I00,2018,154.54005076877675
Globe,C1CO00I00,2019,154.54005076877675
Globe,C1CO00I00,2020,154.54005076877675
Globe,C1CO00I00,2021,154.54005076877675
Globe,C1CO00I00,2022,154.54005076877675
Globe,C1CO00I00,2023,154.54005076877675
Globe,C1CO00I00,2024,154.54005076877675
Globe,C1CO00I00,2025,154.54005076877675
Globe,C1CO00I00,2026,154.54005076877675
Globe,C1CO00I00,2027,154.54005076877675
Globe,C1CO00I00,2028,154.54005076877675
Globe,C1CO00I00,2029,154.54005076877675
