REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,132.443637186157
Globe,ALUPLANT,2011,137.81655969700233
Globe,ALUPLANT,2012,143.19569238504405
Globe,ALUPLANT,2013,148.5825227096272
Globe,ALUPLANT,2014,153.97524936871562
Globe,ALUPLANT,2015,159.37520892916856
Globe,ALUPLANT,2016,164.78175363899982
Globe,ALUPLANT,2017,170.19380825030777
Globe,ALUPLANT,2018,175.6126128825395
Globe,ALUPLANT,2019,181.03682250665764
Globe,ALUPLANT,2020,186.4675072158762
Globe,ALUPLANT,2021,188.44747978016233
Globe,ALUPLANT,2022,190.42742041854368
Globe,ALUPLANT,2023,192.40883703477263
Globe,ALUPLANT,2024,194.39013710965287
Globe,ALUPLANT,2025,196.37283896325067
Globe,ALUPLANT,2026,198.35623969980693
Globe,ALUPLANT,2027,200.33947521502606
Globe,ALUPLANT,2028,202.3241304666209
Globe,ALUPLANT,2029,204.3085389393217
Globe,ALUPLANT,2030,206.29439800342803
Globe,ALUPLANT,2031,208.2808420652681
Globe,ALUPLANT,2032,210.26704755655692
Globe,ALUPLANT,2033,212.25457304279445
Globe,ALUPLANT,2034,214.2418845294091
Globe,ALUPLANT,2035,216.23055028732585
Globe,ALUPLANT,2036,218.21974567548253
Globe,ALUPLANT,2037,220.20858557109437
Globe,ALUPLANT,2038,222.19880754693997
Globe,ALUPLANT,2039,224.18870215867082
Globe,ALUPLANT,2040,226.17991204020055
Globe,ALUPLANT,2041,228.17155054151823
Globe,ALUPLANT,2042,230.16288016565846
Globe,ALUPLANT,2043,232.15550426820894
Globe,ALUPLANT,2044,234.14774587542902
Globe,ALUPLANT,2045,236.14121626958038
Globe,ALUPLANT,2046,238.1351775958577
Globe,ALUPLANT,2047,240.12872618977156
Globe,ALUPLANT,2048,242.12353838601845
Globe,ALUPLANT,2049,244.11786559448078
Globe,ALUPLANT,2050,246.11349833118408
Globe,ALUPLANT,2051,246.11349833118408
Globe,ALUPLANT,2052,246.11349833118408
Globe,ALUPLANT,2053,246.11349833118408
Globe,ALUPLANT,2054,246.11349833118408
Globe,ALUPLANT,2055,246.11349833118408
Globe,ALUPLANT,2056,246.11349833118408
Globe,ALUPLANT,2057,246.11349833118408
Globe,ALUPLANT,2058,246.11349833118408
Globe,ALUPLANT,2059,246.11349833118408
Globe,ALUPLANT,2060,246.11349833118408
Globe,C1BFRDF00,2010,29.89866479799999
Globe,C1BFRDF00,2011,31.125331388
Globe,C1BFRDF00,2012,32.357331310999996
Globe,C1BFRDF00,2013,30.229331444
Globe,C1BFRDF00,2014,28.202664904000002
Globe,C1BFRDF00,2015,26.277331690999997
Globe,C1BFRDF00,2016,24.261331817
Globe,C1BFRDF00,2017,22.389331934
Globe,C1BFRDF00,2018,20.645332043
Globe,C1BFRDF00,2019,19.029332144
Globe,C1BFRDF00,2020,22.178848070983335
Globe,C1BFRDF00,2021,22.55370813768957
Globe,C1BFRDF00,2022,2.458666513
Globe,C1BFRDF00,2023,1.2319999229999947
Globe,C1BMBRFH1,2010,0.0001328711032693688
Globe,C1BMBRFH1,2011,0.00013565688555825715
Globe,C1BMBRFH1,2012,0.00013853358697499195
Globe,C1BMBRFH1,2013,0.00014586613656014126
Globe,C1BMBRFH1,2014,0.00015179839835468919
Globe,C1BMBRFH1,2015,0.00015769774915560858
Globe,C1BMBRFH1,2016,0.00014812459200000004
Globe,C1BMBRFH1,2017,0.0001316628
Globe,C1BMBRFH1,2018,0.000115201008
Globe,C1BMBRFH1,2019,9.873921600000001e-05
Globe,C1BMBRFH1,2020,8.2277424e-05
Globe,C1BMBRFH1,2021,6.584716799999999e-05
Globe,C1BMBRFH1,2022,7.353787207270811e-05
Globe,C1BMBRFH1,2023,5.707608007270812e-05
Globe,C1BMBRFH1,2024,4.0614288072708125e-05
Globe,C1BMBRFH1,2025,3.153600000000005e-05
Globe,C1BMBRFH1,2026,3.1535999999999896e-05
Globe,C1BMBRFH1,2027,3.153600000000004e-05
Globe,C1BMBRFH1,2028,3.153600000000004e-05
Globe,C1BMBRFH1,2029,3.153600000000005e-05
Globe,C1BMBRFH1,2030,3.153600000000005e-05
Globe,C1BMBRFH1,2031,3.153600000000003e-05
Globe,C1BMBRFH1,2032,2.8905897600000026e-05
Globe,C1BMBRFH1,2033,2.272527371021857e-05
Globe,C1BMBRFH1,2034,1.7205410486402304e-05
Globe,C1BMBRFH1,2035,5.498361971966639e-06
Globe,C1BMBRFH1,2043,1.8277023471284083e-06
Globe,C1BMBRFH1,2044,2.6301024000000007e-06
Globe,C1BMBRFH1,2045,2.6301024000000007e-06
Globe,C1BMBRFH1,2046,6.389005488576434e-06
Globe,C1BMBRFH1,2047,9.710325799973366e-06
Globe,C1BMBRFH1,2048,1.0124970501958035e-05
Globe,C1BMBRFH1,2054,9.595708872732623e-08
Globe,C1BMBRFH1,2057,1.3594278442390275e-06
Globe,C1BMBRFH1,2059,4.763291741217302e-07
Globe,C1BMBRFN1,2017,1.2508139676615812e-05
Globe,C1BMBRFN1,2018,3.617345528402696e-05
Globe,C1BMBRFN1,2019,6.0266144005662215e-05
Globe,C1BMBRFN1,2020,7.69890474035933e-05
Globe,C1BMBRFN1,2021,7.69890474035933e-05
Globe,C1BMBRFN1,2022,7.69890474035933e-05
Globe,C1BMBRFN1,2023,7.69890474035933e-05
Globe,C1BMBRFN1,2024,7.69890474035933e-05
Globe,C1BMBRFN1,2025,7.69890474035933e-05
Globe,C1BMBRFN1,2026,7.698904740359329e-05
Globe,C1BMBRFN1,2027,7.69890474035933e-05
Globe,C1BMBRFN1,2028,7.69890474035933e-05
Globe,C1BMBRFN1,2029,7.69890474035933e-05
Globe,C1BMBRFN1,2030,7.69890474035933e-05
Globe,C1BMBRFN1,2031,7.69890474035933e-05
Globe,C1BMBRFN1,2032,6.44809077269775e-05
Globe,C1BMBRFN1,2033,4.081559211956636e-05
Globe,C1BMBRFN1,2034,1.672290339793112e-05
Globe,C1BMCHP00,2010,8.13818016e-06
Globe,C1BMCHP00,2011,7.916229792e-06
Globe,C1BMCHP00,2012,7.669618272e-06
Globe,C1BMCHP00,2013,7.4230067520000015e-06
Globe,C1BMCHP00,2014,7.176395232e-06
Globe,C1BMCHP00,2015,6.954444864e-06
Globe,C1BMCHP00,2016,6.707833344000001e-06
Globe,C1BMCHP00,2017,6.461221824000001e-06
Globe,C1BMCHP00,2018,6.239271456000001e-06
Globe,C1BMCHP00,2019,5.992659936e-06
Globe,C1BMCHP00,2020,5.8834546056360295e-06
Globe,C1BMCHP00,2021,1.8690134007215524e-05
Globe,C1BMCHP00,2022,3.326487483921553e-05
Globe,C1BMCHP00,2023,4.6649113157535175e-05
Globe,C1BMCHP00,2024,6.026684533279223e-05
Globe,C1BMCHP00,2025,6.976170535256948e-05
Globe,C1BMCHP00,2026,7.743330170754499e-05
Globe,C1BMCHP00,2027,7.89942734588951e-05
Globe,C1BMCHP00,2028,8.300274993652772e-05
Globe,C1BMCHP00,2029,8.696510166052581e-05
Globe,C1BMCHP00,2030,9.085864216714181e-05
Globe,C1BMCHP00,2031,9.603061336563042e-05
Globe,C1BMCHP00,2032,0.0001050054744504252
Globe,C1BMCHP00,2033,0.00011955555413042522
Globe,C1BMCHP00,2034,0.0001341056338104252
Globe,C1BMCHP00,2035,0.00014865571349042522
Globe,C1BMCHP00,2036,0.00015397071129366271
Globe,C1BMCHP00,2037,0.00015654704721727408
Globe,C1BMCHP00,2038,0.00015926690994506909
Globe,C1BMCHP00,2039,0.0001619545312111506
Globe,C1BMCHP00,2040,0.00016442323543400182
Globe,C1BMCHP00,2041,0.00016704857945437626
Globe,C1BMCHP00,2042,0.0001696420183953734
Globe,C1BMCHP00,2043,0.0001713812274122657
Globe,C1BMCHP00,2044,0.00017113461589226577
Globe,C1BMCHP00,2045,0.0001711346158922657
Globe,C1BMCHP00,2046,0.00017113461589226577
Globe,C1BMCHP00,2047,0.00017113461589226577
Globe,C1BMCHP00,2048,0.00017113461589226577
Globe,C1BMCHP00,2049,0.00017113461589226577
Globe,C1BMCHP00,2050,0.0001711346158922657
Globe,C1BMCHP00,2051,0.00017113461589226577
Globe,C1BMCHP00,2052,0.00017113461589226577
Globe,C1BMCHP00,2053,0.00017113461589226577
Globe,C1BMCHP00,2054,0.00017113461589226577
Globe,C1BMCHP00,2055,0.00017448648873255335
Globe,C1BMCHP00,2056,0.00017595949628547983
Globe,C1BMCHP00,2057,0.00016524144768170632
Globe,C1BMCHP00,2058,0.0001557688437230369
Globe,C1BMCHP00,2059,0.00015649961990344216
Globe,C1BMCHP00,2060,0.0001467828095156649
Globe,C1BMHTF03,2010,7.638303024000002e-05
Globe,C1BMHTF03,2011,7.255929024000001e-05
Globe,C1BMHTF03,2012,6.873555024e-05
Globe,C1BMHTF03,2013,6.494240016e-05
Globe,C1BMHTF03,2014,6.111866016000001e-05
Globe,C1BMHTF03,2015,5.7294920160000005e-05
Globe,C1BMHTF03,2016,5.347118016e-05
Globe,C1BMHTF03,2017,4.964744016e-05
Globe,C1BMHTF03,2018,4.5823700160000004e-05
Globe,C1BMHTF03,2019,4.1999960160000006e-05
Globe,C1BMHTF03,2020,3.820681008000001e-05
Globe,C1BMHTF03,2021,3.438307008e-05
Globe,C1BMHTF03,2022,3.055933008e-05
Globe,C1BMHTF03,2023,2.673559008e-05
Globe,C1BMHTF03,2024,2.2911850080000002e-05
Globe,C1BMHTF03,2025,1.9088110080000004e-05
Globe,C1BMHTF03,2026,1.9088110080000004e-05
Globe,C1BMHTF03,2027,1.529496e-05
Globe,C1BMHTF03,2028,1.529496e-05
Globe,C1BMHTF03,2029,1.529496e-05
Globe,C1BMHTF03,2030,1.5294960000000002e-05
Globe,C1BMHTF03,2031,1.5294960000000002e-05
Globe,C1BMHTF03,2032,1.5294960000000002e-05
Globe,C1BMHTF03,2033,1.5294960000000002e-05
Globe,C1BMHTF03,2034,1.5294960000000002e-05
Globe,C1BMHTF03,2035,1.5294960000000002e-05
Globe,C1BMHTF03,2036,1.5294960000000002e-05
Globe,C1BMHTF03,2037,1.5294960000000002e-05
Globe,C1BMHTF03,2038,1.5294960000000002e-05
Globe,C1BMHTF03,2039,1.5294960000000002e-05
Globe,C1BMHTF03,2040,1.5294960000000002e-05
Globe,C1BMHTF03,2041,1.5294960000000002e-05
Globe,C1BMHTF03,2042,1.5294960000000002e-05
Globe,C1BMHTF03,2043,1.5294960000000002e-05
Globe,C1BMHTF03,2044,1.5294960000000002e-05
Globe,C1BMHTF03,2045,1.5294960000000002e-05
Globe,C1BMHTF03,2046,1.5294960000000002e-05
Globe,C1BMHTF03,2047,1.5294960000000002e-05
Globe,C1BMHTF03,2048,1.5294960000000002e-05
Globe,C1BMHTF03,2049,1.529496e-05
Globe,C1BMHTF03,2050,1.5294960000000002e-05
Globe,C1BMHTF03,2051,1.5294960000000006e-05
Globe,C1BMHTF03,2052,1.5294960000000006e-05
Globe,C1BMHTF03,2053,1.5294960000000002e-05
Globe,C1BMHTF03,2054,1.5294960000000006e-05
Globe,C1BMHTF03,2055,1.116383409025834e-05
Globe,C1BMHTF03,2056,7.129178829306903e-06
Globe,C1BMHTF03,2057,1.5294960000000002e-05
Globe,C1BMHTF03,2058,1.5294960000000002e-05
Globe,C1BMHTF03,2059,1.5294960000000002e-05
Globe,C1BMHTF03,2060,1.5294960000000002e-05
Globe,C1BMIGPCS,2044,0.0012428340563441903
Globe,C1BMIGPCS,2045,0.002476781185089495
Globe,C1BMIGPCS,2046,0.002476781185089495
Globe,C1BMIGPCS,2047,0.002476781185089495
Globe,C1BMIGPCS,2048,0.0035288886440076658
Globe,C1BMIGPCS,2049,0.008092679443520436
Globe,C1BMIGPCS,2050,0.009296585243761368
Globe,C1BMIGPCS,2051,0.00936025317652461
Globe,C1BMIGPCS,2052,0.009411746452059049
Globe,C1BMIGPCS,2053,0.009452839429497446
Globe,C1BMIGPCS,2054,0.009452839429497362
Globe,C1BMIGPCS,2055,0.008009015241487316
Globe,C1BMIGPCS,2056,0.007917227969297991
Globe,C1BMIGPCS,2057,0.013545152149206157
Globe,C1BMIGPCS,2058,0.021221983345356674
Globe,C1BMIGPCS,2059,0.020526538611146006
Globe,C1BMIGPCS,2060,0.028097629547094702
Globe,C1BMLP000,2010,6.472425191489362e-05
Globe,C1BMLP000,2011,6.687437632340425e-05
Globe,C1BMLP000,2012,6.899604099574468e-05
Globe,C1BMLP000,2013,6.396767320851063e-05
Globe,C1BMLP000,2014,5.9221189582978725e-05
Globe,C1BMLP000,2015,5.475165440425532e-05
Globe,C1BMLP000,2016,5.0157196570212765e-05
Globe,C1BMLP000,2017,4.5923565472340435e-05
Globe,C1BMLP000,2018,4.2011188799999995e-05
Globe,C1BMLP000,2019,3.841383196595745e-05
Globe,C1BMLP000,2020,4.441155340781857e-05
