REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,0.2508666840115974
Globe,ALUPLANT,2011,0.3859796264991693
Globe,ALUPLANT,2012,0.4587541254081313
Globe,ALUPLANT,2013,0.7355444318216984
Globe,ALUPLANT,2014,1.0105205187147939
Globe,ALUPLANT,2015,1.283664854226898
Globe,ALUPLANT,2016,1.5552022316721108
Globe,ALUPLANT,2017,1.8249461755912169
Globe,ALUPLANT,2018,2.093169073218507
Globe,ALUPLANT,2019,2.359774840427781
Globe,ALUPLANT,2020,2.8751935757702243
Globe,ALUPLANT,2021,3.352787371546269
Globe,ALUPLANT,2022,3.6242168483186807
Globe,ALUPLANT,2023,3.8939684695766283
Globe,ALUPLANT,2024,4.162233171107374
Globe,ALUPLANT,2025,4.428987159997348
Globe,ALUPLANT,2026,4.694134168746846
Globe,ALUPLANT,2027,4.957889180696032
Globe,ALUPLANT,2028,5.2202231245483635
Globe,ALUPLANT,2029,5.481024106046231
Globe,ALUPLANT,2030,5.740562528357148
Globe,ALUPLANT,2031,5.881309821696677
Globe,ALUPLANT,2032,5.941601337496307
Globe,ALUPLANT,2033,5.941601337496307
Globe,ALUPLANT,2034,6.18775677727141
Globe,ALUPLANT,2035,7.0182118084993474
Globe,ALUPLANT,2036,7.111608716028411
Globe,ALUPLANT,2037,7.203779407121002
Globe,ALUPLANT,2038,7.294792483206866
Globe,ALUPLANT,2039,7.3846246020678254
Globe,ALUPLANT,2040,7.340058573159007
Globe,ALUPLANT,2041,7.09440495849223
Globe,ALUPLANT,2042,7.172461808015516
Globe,ALUPLANT,2043,7.08795668363584
Globe,ALUPLANT,2044,7.395549788825543
Globe,ALUPLANT,2045,7.900590224262876
Globe,ALUPLANT,2046,7.982925856813106
Globe,ALUPLANT,2047,8.064240374844314
Globe,ALUPLANT,2048,8.144600592562687
Globe,ALUPLANT,2049,8.223974982908835
Globe,ALUPLANT,2050,8.302430044347384
Globe,ALUPLANT,2051,8.302430044347384
Globe,ALUPLANT,2052,8.302430044347384
Globe,ALUPLANT,2053,8.302430044347384
Globe,ALUPLANT,2054,8.302430044347384
Globe,ALUPLANT,2055,8.302430044347384
Globe,ALUPLANT,2056,8.302430044347382
Globe,ALUPLANT,2057,8.302430044347382
Globe,ALUPLANT,2058,8.302430044347382
Globe,ALUPLANT,2059,8.302430044347384
Globe,ALUPLANT,2060,8.302430044347384
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836000000000001
Globe,C1BFRDF00,2012,0.6067000000000001
Globe,C1BFRDF00,2013,0.6067000000000001
Globe,C1BFRDF00,2014,0.6067000000000001
Globe,C1BFRDF00,2015,0.6067000000000001
Globe,C1BFRDF00,2016,0.6067000000000001
Globe,C1BFRDF00,2017,0.6067000000000001
Globe,C1BFRDF00,2018,0.6067000000000001
Globe,C1BFRDF00,2019,0.6067000000000001
Globe,C1BFRDF00,2020,0.6067000000000001
Globe,C1BFRDF00,2021,0.6067000000000001
Globe,C1BFRDF00,2022,0.04610000000000014
Globe,C1BFRDF00,2023,0.02310000000000001
Globe,C1BMBRFH1,2024,0.0478
Globe,C1BMBRFH1,2025,0.1
Globe,C1BMBRFH1,2026,0.1
Globe,C1BMBRFH1,2027,0.1
Globe,C1BMBRFH1,2028,0.1
Globe,C1BMBRFH1,2029,0.1
Globe,C1BMBRFH1,2030,0.1
Globe,C1BMBRFH1,2031,0.1
Globe,C1BMBRFH1,2032,0.1
Globe,C1BMBRFH1,2033,0.1
Globe,C1BMBRFH1,2034,0.1
Globe,C1BMBRFH1,2035,0.1
Globe,C1BMBRFH1,2036,0.1
Globe,C1BMBRFH1,2037,0.1
Globe,C1BMBRFH1,2038,0.1
Globe,C1BMBRFH1,2039,0.1
Globe,C1BMBRFH1,2040,0.1
Globe,C1BMBRFH1,2041,0.1
Globe,C1BMBRFH1,2042,0.1
Globe,C1BMBRFH1,2043,0.1
Globe,C1BMBRFH1,2044,0.1
Globe,C1BMBRFH1,2045,0.1
Globe,C1BMBRFH1,2046,0.1
Globe,C1BMBRFH1,2047,0.1
Globe,C1BMBRFH1,2048,0.1
Globe,C1BMBRFH1,2049,0.1
Globe,C1BMBRFH1,2050,0.1
Globe,C1BMBRFH1,2051,0.1
Globe,C1BMBRFH1,2052,0.1
Globe,C1BMBRFH1,2053,0.1
Globe,C1BMBRFH1,2054,0.1
Globe,C1BMBRFH1,2055,0.1
Globe,C1BMBRFH1,2056,0.1
Globe,C1BMBRFH1,2057,0.1
Globe,C1BMBRFH1,2058,0.1
Globe,C1BMBRFH1,2059,0.1
Globe,C1BMBRFH1,2060,0.1
Globe,C1BMCHP00,2018,0.030243419674424336
Globe,C1BMCHP00,2019,0.06887708166742201
Globe,C1BMCHP00,2020,0.12614939747331097
Globe,C1BMCHP00,2021,0.18614939747331097
Globe,C1BMCHP00,2022,0.24614939747331097
Globe,C1BMCHP00,2023,0.28588768994489266
Globe,C1BMCHP00,2024,0.28588768994489266
Globe,C1BMCHP00,2025,0.28588768994489266
Globe,C1BMCHP00,2026,0.30555537063807997
Globe,C1BMCHP00,2027,0.30555537063807997
Globe,C1BMCHP00,2028,0.30555537063807997
Globe,C1BMCHP00,2029,0.30555537063807997
Globe,C1BMCHP00,2030,0.30555537063807997
Globe,C1BMCHP00,2031,0.30555537063807997
Globe,C1BMCHP00,2032,0.30555537063807997
Globe,C1BMCHP00,2033,0.34407275011014515
Globe,C1BMCHP00,2034,0.35572845429598643
Globe,C1BMCHP00,2035,0.35572845429598643
Globe,C1BMCHP00,2036,0.35572845429598643
Globe,C1BMCHP00,2037,0.35572845429598643
Globe,C1BMCHP00,2038,0.35572845429598643
Globe,C1BMCHP00,2039,0.35572845429598643
Globe,C1BMCHP00,2040,0.35572845429598643
Globe,C1BMCHP00,2041,0.35572845429598643
Globe,C1BMCHP00,2042,0.35572845429598643
Globe,C1BMCHP00,2043,0.35572845429598643
Globe,C1BMCHP00,2044,0.35572845429598643
Globe,C1BMCHP00,2045,0.35572845429598643
Globe,C1BMCHP00,2046,0.35572845429598643
Globe,C1BMCHP00,2047,0.35572845429598643
Globe,C1BMCHP00,2048,0.35572845429598643
Globe,C1BMCHP00,2049,0.3579372319811695
Globe,C1BMCHP00,2050,0.3579372319811695
Globe,C1BMCHP00,2051,0.35854924793620135
Globe,C1BMCHP00,2052,0.362246378693529
Globe,C1BMCHP00,2053,0.36612836601973403
Globe,C1BMCHP00,2054,0.37318546498834043
Globe,C1BMCHP00,2055,0.37591314918245144
Globe,C1BMCHP00,2056,0.37591314918245144
Globe,C1BMCHP00,2057,0.37591314918245144
Globe,C1BMCHP00,2058,0.37591314918245244
Globe,C1BMCHP00,2059,0.37591314918245244
Globe,C1BMCHP00,2060,0.37591314918245244
Globe,C1BMHTF03,2026,0.0037057859147473908
Globe,C1BMHTF03,2027,0.0125
Globe,C1BMHTF03,2028,0.024999999999999988
Globe,C1BMHTF03,2029,0.0375
Globe,C1BMHTF03,2030,0.04999999999999998
Globe,C1BMHTF03,2031,0.04999999999999998
Globe,C1BMHTF03,2032,0.04999999999999998
Globe,C1BMHTF03,2033,0.04999999999999998
Globe,C1BMHTF03,2034,0.04999999999999998
Globe,C1BMHTF03,2035,0.04999999999999998
Globe,C1BMHTF03,2036,0.04999999999999998
Globe,C1BMHTF03,2037,0.04999999999999998
Globe,C1BMHTF03,2038,0.04999999999999998
Globe,C1BMHTF03,2039,0.04999999999999998
Globe,C1BMHTF03,2040,0.04999999999999998
Globe,C1BMHTF03,2041,0.04999999999999998
Globe,C1BMHTF03,2042,0.04999999999999998
Globe,C1BMHTF03,2043,0.04999999999999998
Globe,C1BMHTF03,2044,0.04999999999999998
Globe,C1BMHTF03,2045,0.04999999999999998
Globe,C1BMHTF03,2046,0.05
Globe,C1BMHTF03,2047,0.05000000000000001
Globe,C1BMHTF03,2048,0.05
Globe,C1BMHTF03,2049,0.05
Globe,C1BMHTF03,2050,0.05
Globe,C1BMHTF03,2051,0.05
Globe,C1BMHTF03,2052,0.05
Globe,C1BMHTF03,2053,0.05
Globe,C1BMHTF03,2054,0.05
Globe,C1BMHTF03,2055,0.05
Globe,C1BMHTF03,2056,0.05
Globe,C1BMHTF03,2057,0.05
Globe,C1BMHTF03,2058,0.05
Globe,C1BMHTF03,2059,0.05
Globe,C1BMHTF03,2060,0.05
Globe,C1BMLP000,2010,2.8724251914893606
Globe,C1BMLP000,2011,3.231437632340425
Globe,C1BMLP000,2012,3.5876040995744676
Globe,C1BMLP000,2013,3.5876040995744676
Globe,C1BMLP000,2014,3.5876040995744676
Globe,C1BMLP000,2015,3.5876040995744676
Globe,C1BMLP000,2016,3.5876040995744676
Globe,C1BMLP000,2017,3.5876040995744676
Globe,C1BMLP000,2018,3.5876040995744676
Globe,C1BMLP000,2019,3.5876040995744676
Globe,C1BMLP000,2020,3.5876040995744676
Globe,C1BMLP000,2021,3.5876040995744676
Globe,C1BMLP000,2022,3.5876040995744676
Globe,C1BMLP000,2023,3.5876040995744676
Globe,C1BMLP000,2024,3.5876040995744676
Globe,C1BMLP000,2025,3.5876040995744676
Globe,C1BMLP000,2026,3.5876040995744676
Globe,C1BMLP000,2027,3.5876040995744676
Globe,C1BMLP000,2028,3.5876040995744676
Globe,C1BMLP000,2029,3.5876040995744676
Globe,C1BMLP000,2030,3.5876040995744676
Globe,C1BMLP000,2031,3.5876040995744676
Globe,C1BMLP000,2032,3.5876040995744676
Globe,C1BMLP000,2033,3.5876040995744676
Globe,C1BMLP000,2034,3.5876040995744676
Globe,C1BMLP000,2035,0.715178908085107
Globe,C1BMLP000,2036,0.3561664672340425
Globe,C1CO00I00,2010,143.31455708925225
Globe,C1CO00I00,2011,148.51455708925224
Globe,C1CO00I00,2012,153.71455708925222
Globe,C1CO00I00,2013,158.9145570892522
Globe,C1CO00I00,2014,164.1145570892522
Globe,C1CO00I00,2015,169.3145570892522
Globe,C1CO00I00,2016,174.51455708925218
Globe,C1CO00I00,2017,179.71455708925225
Globe,C1CO00I00,2018,184.91455708925224
Globe,C1CO00I00,2019,190.11455708925223
Globe,C1CO00I00,2020,195.31455708925222
Globe,C1CO00I00,2021,200.5145570892522
Globe,C1CO00I00,2022,205.7145570892522
Globe,C1CO00I00,2023,210.91455708925218
Globe,C1CO00I00,2024,216.11455708925217
Globe,C1CO00I00,2025,221.31455708925225
Globe,C1CO00I00,2026,226.51455708925224
Globe,C1CO00I00,2027,231.71455708925222
Globe,C1CO00I00,2028,236.9145570892522
Globe,C1CO00I00,2029,242.1145570892522
Globe,C1CO00I00,2030,247.3145570892522
Globe,C1CO00I00,2031,252.51455708925218
Globe,C1CO00I00,2032,257.7145570892522
Globe,C1CO00I00,2033,262.9145570892522
Globe,C1CO00I00,2034,268.1145570892522
Globe,C1CO00I00,2035,273.31455708925216
Globe,C1CO00I00,2036,278.51455708925215
Globe,C1CO00I00,2037,283.71455708925214
Globe,C1CO00I00,2038,288.9145570892521
Globe,C1CO00I00,2039,294.1145570892521
Globe,C1CO00I00,2040,299.3145570892521
Globe,C1CO00I00,2041,304.5145570892522
Globe,C1CO00I00,2042,309.7145570892522
Globe,C1CO00I00,2043,314.9145570892522
Globe,C1CO00I00,2044,320.1145570892522
Globe,C1CO00I00,2045,325.31455708925216
Globe,C1CO00I00,2046,330.51455708925215
Globe,C1CO00I00,2047,335.71455708925214
Globe,C1CO00I00,2048,340.9145570892521
Globe,C1CO00I00,2049,346.11455708925223
Globe,C1CO00I00,2050,351.3145570892522
Globe,C1CO00I00,2051,356.5145570892522
Globe,C1CO00I00,2052,361.7145570892522
Globe,C1CO00I00,2053,366.9145570892522
Globe,C1CO00I00,2054,372.1145570892522
Globe,C1CO00I00,2055,377.31455708925216
Globe,C1CO00I00,2056,382.51455708925215
Globe,C1CO00I00,2057,387.7145570892522
Globe,C1CO00I00,2058,392.9145570892522
Globe,C1CO00I00,2059,398.1145570892522
Globe,C1CO00I00,2060,260.0
Globe,C1COBRFH1,2010,0.08
Globe,C1COBRFH1,2011,0.16
Globe,C1COBRFH1,2012,0.24
Globe,C1COBRFH1,2013,0.32
Globe,C1COBRFH1,2014,0.4
Globe,C1COBRFH1,2015,0.48000000000000004
Globe,C1COBRFH1,2016,0.48000000000000004
Globe,C1COBRFH1,2017,0.56
Globe,C1COBRFH1,2018,0.64
Globe,C1COBRFH1,2019,0.72
Globe,C1COBRFH1,2020,0.7999999999999999
Globe,C1COBRFH1,2021,0.8799999999999999
Globe,C1COBRFH1,2022,0.9599999999999999
Globe,C1COBRFH1,2023,1.0399999999999998
Globe,C1COBRFH1,2024,1.1199999999999999
Globe,C1COBRFH1,2025,1.1199999999999999
Globe,C1COBRFH1,2026,1.1199999999999999
Globe,C1COBRFH1,2027,1.1199999999999999
Globe,C1COBRFH1,2028,1.1199999999999999
Globe,C1COBRFH1,2029,1.0399999999999998
Globe,C1COBRFH1,2030,1.0216285619011651
Globe,C1COBRFH1,2031,1.1016285619011652
Globe,C1COBRFH1,2032,1.1016285619011652
Globe,C1COBRFH1,2033,1.0801192532684412
Globe,C1COBRFH1,2034,1.0384486984847774
Globe,C1COBRFH1,2035,1.0047355535776694
Globe,C1COBRFH1,2036,0.966289936896806
Globe,C1COBRFH1,2037,0.9230960719097421
Globe,C1COBRFH1,2038,0.8788517078966558
Globe,C1COBRFH1,2039,0.8335290362596502
Globe,C1COBRFH1,2040,0.7840351583303745
Globe,C1COBRFH1,2041,0.7268943135855427
Globe,C1COBRFH1,2042,0.6690258422964577
Globe,C1COBRFH1,2043,0.6111775528166935
Globe,C1COBRFH1,2044,0.6111775528166935
Globe,C1COBRFH1,2045,0.5495489909155283
Globe,C1COBRFH1,2046,0.4695489909155283
Globe,C1COBRFH1,2047,0.4695489909155284
Globe,C1COBRFH1,2048,0.4910582995482524
Globe,C1COBRFH1,2049,0.5327288543319161
Globe,C1COBRFH1,2050,0.5664419992390239
Globe,C1COBRFH1,2051,0.5339174630804621
Globe,C1COBRFH1,2052,0.497111328067526
Globe,C1COBRFH1,2053,0.46135569208061233
Globe,C1COBRFH1,2054,0.42667836371761797
Globe,C1COBRFH1,2055,0.3961722416468936
Globe,C1COBRFH1,2056,0.37331308639172556
Globe,C1COBRFH1,2057,0.3511815576808106
Globe,C1COBRFH1,2058,0.3290298471605747
Globe,C1COBRFH1,2059,0.3290298471605747
Globe,C1COBRFH1,2060,0.3290298471605747
Globe,C1COHTF03,2010,0.15
Globe,C1COHTF03,2011,0.3
Globe,C1COHTF03,2012,0.44999999999999996
Globe,C1COHTF03,2013,0.6
Globe,C1COHTF03,2014,0.75
Globe,C1COHTF03,2015,0.9
Globe,C1COHTF03,2016,1.05
Globe,C1COHTF03,2017,1.2
Globe,C1COHTF03,2018,1.3499999999999999
Globe,C1COHTF03,2019,1.4999999999999998
Globe,C1COHTF03,2020,1.6499999999999997
Globe,C1COHTF03,2021,1.7999999999999996
Globe,C1COHTF03,2022,1.9499999999999995
Globe,C1COHTF03,2023,2.0999999999999996
Globe,C1COHTF03,2024,2.2499999999999996
Globe,C1COHTF03,2025,2.4
Globe,C1COHTF03,2026,2.55
Globe,C1COHTF03,2027,2.6999999999999997
Globe,C1COHTF03,2028,2.8499999999999996
Globe,C1COHTF03,2029,2.9999999999999996
Globe,C1COHTF03,2030,2.9999999999999996
Globe,C1COHTF03,2031,2.9999999999999996
Globe,C1COHTF03,2032,2.9999999999999996
Globe,C1COHTF03,2033,2.9999999999999996
Globe,C1COHTF03,2034,2.9999999999999996
Globe,C1COHTF03,2035,2.9999999999999996
Globe,C1COHTF03,2036,2.9999999999999996
Globe,C1COHTF03,2037,2.9999999999999996
Globe,C1COHTF03,2038,2.9999999999999996
Globe,C1COHTF03,2039,2.9999999999999996
Globe,C1COHTF03,2040,2.9999999999999996
Globe,C1COHTF03,2041,2.9999999999999996
Globe,C1COHTF03,2042,2.9999999999999996
Globe,C1COHTF03,2043,2.9999999999999996
Globe,C1COHTF03,2044,2.9999999999999996
Globe,C1COHTF03,2045,2.9999999999999996
Globe,C1COHTF03,2046,2.9999999999999996
Globe,C1COHTF03,2047,2.9999999999999996
Globe,C1COHTF03,2048,2.9999999999999996
Globe,C1COHTF03,2049,2.9999999999999996
Globe,C1COHTF03,2050,2.9999999999999996
Globe,C1COHTF03,2051,2.9999999999999996
Globe,C1COHTF03,2052,2.9999999999999996
Globe,C1COHTF03,2053,2.9999999999999996
Globe,C1COHTF03,2054,2.9999999999999996
Globe,C1COHTF03,2055,2.9999999999999996
Globe,C1COHTF03,2056,2.9999999999999996
Globe,C1COHTF03,2057,2.9999999999999996
Globe,C1COHTF03,2058,2.9999999999999996
Globe,C1COHTF03,2059,2.9999999999999996
Globe,C1COHTF03,2060,2.8499999999999996
Globe,C1COLP000,2025,4.0
Globe,C1COLP000,2026,8.0
Globe,C1COLP000,2027,12.0
Globe,C1COLP000,2028,16.0
Globe,C1COLP000,2029,20.0
Globe,C1COLP000,2030,24.0
Globe,C1COLP000,2031,28.0
Globe,C1COLP000,2032,32.0
Globe,C1COLP000,2033,36.0
Globe,C1COLP000,2034,40.0
Globe,C1COLP000,2035,44.0
Globe,C1COLP000,2036,48.0
Globe,C1COLP000,2037,52.0
Globe,C1COLP000,2038,56.0
Globe,C1COLP000,2039,60.0
Globe,C1COLP000,2040,64.0
Globe,C1COLP000,2041,68.0
Globe,C1COLP000,2042,72.0
Globe,C1COLP000,2043,76.0
Globe,C1COLP000,2044,80.0
Globe,C1COLP000,2045,80.0
Globe,C1COLP000,2046,80.0
Globe,C1COLP000,2047,80.0
Globe,C1COLP000,2048,80.0
Globe,C1COLP000,2049,80.0
Globe,C1COLP000,2050,80.0
Globe,C1COLP000,2051,80.0
Globe,C1COLP000,2052,80.0
Globe,C1COLP000,2053,80.0
Globe,C1COLP000,2054,80.0
Globe,C1COLP000,2055,80.0
Globe,C1COLP000,2056,80.0
Globe,C1COLP000,2057,80.0
Globe,C1COLP000,2058,80.0
Globe,C1COLP000,2059,80.0
Globe,C1COLP000,2060,80.0
Globe,C1COSCP00,2024,0.017639583602165127
Globe,C1COSCP00,2025,0.11763958360216513
Globe,C1COSCP00,2026,0.21763958360216512
Globe,C1COSCP00,2027,0.31763958360216515
Globe,C1COSCP00,2028,0.41763958360216513
Globe,C1COSCP00,2029,0.5176395836021651
Globe,C1COSCP00,2030,0.6176395836021651
Globe,C1COSCP00,2031,0.7176395836021652
Globe,C1COSCP00,2032,0.8176395836021652
Globe,C1COSCP00,2033,0.9176395836021651
Globe,C1COSCP00,2034,1.0176395836021652
Globe,C1COSCP00,2035,1.1176395836021653
Globe,C1COSCP00,2036,1.2176395836021654
Globe,C1COSCP00,2037,1.3176395836021655
Globe,C1COSCP00,2038,1.4176395836021656
Globe,C1COSCP00,2039,1.5176395836021652
Globe,C1COSCP00,2040,1.6176395836021653
Globe,C1COSCP00,2041,1.7176395836021654
Globe,C1COSCP00,2042,1.760499925226981
Globe,C1COSCP00,2043,1.8012581402602177
Globe,C1COSCP00,2044,1.8180002067534142
Globe,C1COSCP00,2045,1.8799569566482224
Globe,C1COSCP00,2046,1.9345825779160142
Globe,C1COSCP00,2047,1.9817975130172703
Globe,C1COSCP00,2048,2.038640573524872
Globe,C1COSCP00,2049,2.07936889094353
Globe,C1COSCP00,2050,2.126374629511015
Globe,C1COSCP00,2051,2.1278943770222907
Globe,C1COSCP00,2052,2.1337591605049266
Globe,C1COSCP00,2053,2.139953797090521
Globe,C1COSCP00,2054,2.139953797090521
Globe,C1COSCP00,2055,2.139953797090521
Globe,C1COSCP00,2056,2.139953797090521
Globe,C1COSCP00,2057,2.139953797090521
Globe,C1COSCP00,2058,2.139953797090521
Globe,C1COSCP00,2059,2.139953797090521
Globe,C1COSCP00,2060,2.139953797090521
Globe,C1COSF000,2033,2.110003496048839
Globe,C1COSF000,2034,5.110003496048839
Globe,C1COSF000,2035,5.911530648391851
Globe,C1COSF000,2036,6.595411027854627
