REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,3.9591
Globe,ALUPLANT,2011,3.8007
Globe,ALUPLANT,2012,3.6424
Globe,ALUPLANT,2013,3.484
Globe,ALUPLANT,2014,3.3256
Globe,ALUPLANT,2015,3.1673
Globe,ALUPLANT,2016,3.103597296409618
Globe,ALUPLANT,2017,3.1793789491294215
Globe,ALUPLANT,2018,3.254061189295067
Globe,ALUPLANT,2019,3.278691296445026
Globe,ALUPLANT,2020,3.3001670205712275
Globe,ALUPLANT,2021,3.620446336915304
Globe,ALUPLANT,2022,3.6370794193503224
Globe,ALUPLANT,2023,3.7083847075185727
Globe,ALUPLANT,2024,3.7787163487519932
Globe,ALUPLANT,2025,3.527150933920848
Globe,ALUPLANT,2026,3.161350933920848
Globe,ALUPLANT,2027,2.905250933920848
Globe,ALUPLANT,2028,2.7260509339208476
Globe,ALUPLANT,2029,2.600550933920848
Globe,ALUPLANT,2030,2.5126509339208476
Globe,ALUPLANT,2031,2.3077509339208477
Globe,ALUPLANT,2032,2.3077509339208477
Globe,ALUPLANT,2033,2.3077509339208477
Globe,ALUPLANT,2034,2.3077509339208477
Globe,ALUPLANT,2035,2.3077509339208477
Globe,ALUPLANT,2036,2.3077509339208477
Globe,ALUPLANT,2037,2.3077509339208477
Globe,ALUPLANT,2038,2.3077509339208477
Globe,ALUPLANT,2039,2.3077509339208477
Globe,ALUPLANT,2040,2.3077509339208477
Globe,ALUPLANT,2041,2.21305363751123
Globe,ALUPLANT,2042,1.9789719847914262
Globe,ALUPLANT,2043,1.745889744625781
Globe,ALUPLANT,2044,1.562859637475821
Globe,ALUPLANT,2045,1.38308391334962
Globe,ALUPLANT,2046,0.9044045970055432
Globe,ALUPLANT,2047,0.7293715145705248
Globe,ALUPLANT,2048,0.49976622640227486
Globe,ALUPLANT,2049,0.2710345851688545
Globe,ALURCPLANT,2010,27.296
Globe,ALURCPLANT,2011,28.379
Globe,ALURCPLANT,2012,29.463
Globe,ALURCPLANT,2013,30.546
Globe,ALURCPLANT,2014,31.629
Globe,ALURCPLANT,2015,32.712
Globe,ALURCPLANT,2016,33.796
Globe,ALURCPLANT,2017,34.879
Globe,ALURCPLANT,2018,35.962
Globe,ALURCPLANT,2019,38.203
Globe,ALURCPLANT,2020,40.512
Globe,ALURCPLANT,2021,42.888
Globe,ALURCPLANT,2022,45.332
Globe,ALURCPLANT,2023,46.551
Globe,ALURCPLANT,2024,47.77
Globe,ALURCPLANT,2025,48.98800000000001
Globe,ALURCPLANT,2026,139.464
Globe,ALURCPLANT,2027,142.849
Globe,ALURCPLANT,2028,146.234
Globe,ALURCPLANT,2029,149.62
Globe,ALURCPLANT,2030,153.005
Globe,ALURCPLANT,2031,156.39
Globe,ALURCPLANT,2032,159.775
Globe,ALURCPLANT,2033,163.161
Globe,ALURCPLANT,2034,166.546
Globe,ALURCPLANT,2035,169.931
Globe,ALURCPLANT,2036,173.316
Globe,ALURCPLANT,2037,176.702
Globe,ALURCPLANT,2038,180.08699999999996
Globe,ALURCPLANT,2039,183.472
Globe,ALURCPLANT,2040,186.857
Globe,ALURCPLANT,2041,190.243
Globe,ALURCPLANT,2042,193.62799999999996
Globe,ALURCPLANT,2043,197.013
Globe,ALURCPLANT,2044,200.399
Globe,ALURCPLANT,2045,203.78400000000002
Globe,ALURCPLANT,2046,207.16899999999998
Globe,ALURCPLANT,2047,210.554
Globe,ALURCPLANT,2048,213.94
Globe,ALURCPLANT,2049,217.32500000000002
Globe,ALURCPLANT,2050,220.70999999999998
Globe,ALURCPLANT,2051,220.71000000000004
Globe,ALURCPLANT,2052,220.71000000000004
Globe,ALURCPLANT,2053,220.71
Globe,ALURCPLANT,2054,220.71000000000004
Globe,ALURCPLANT,2055,220.71
Globe,ALURCPLANT,2056,220.71000000000004
Globe,ALURCPLANT,2057,220.71
Globe,ALURCPLANT,2058,220.71000000000004
Globe,ALURCPLANT,2059,220.71000000000004
Globe,ALURCPLANT,2060,220.71000000000006
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.6067
Globe,C1BFRDF00,2014,0.6067
Globe,C1BFRDF00,2015,0.6067
Globe,C1BFRDF00,2016,0.6067
Globe,C1BFRDF00,2017,0.6067
Globe,C1BFRDF00,2018,0.6067
Globe,C1BFRDF00,2019,0.6067
Globe,C1BFRDF00,2020,0.6067
Globe,C1BFRDF00,2021,0.6067
Globe,C1BFRDF00,2022,0.04610000000000003
Globe,C1BFRDF00,2023,0.02310000000000001
