REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2047,0.34211202
Globe,ALUPLANT,2048,0.16803861
Globe,ALUPLANT,2049,0.31239566
Globe,ALUPLANT,2050,0.61358116
Globe,ALUPLANT,2051,0.76435145
Globe,ALUPLANT,2052,0.64199369
Globe,ALUPLANT,2053,1.0608269
Globe,ALUPLANT,2054,1.1828406
Globe,ALUPLANT,2055,0.56300128
Globe,ALUPLANT,2056,1.1837466
Globe,ALUPLANT,2057,1.2675387
Globe,ALUPLANT,2058,1.3461674
Globe,ALUPLANT,2059,1.4192298
Globe,ALUPLANT,2060,3.013507
Globe,ALUPLANT,2061,1.3676806
Globe,ALUPLANT,2062,2.9274569
Globe,ALUPLANT,2063,2.4959299
Globe,ALUPLANT,2064,2.3581313
Globe,ALUPLANT,2065,1.4589636
Globe,ALUPLANT,2066,1.9963941
Globe,ALUPLANT,2067,2.7465251
Globe,ALUPLANT,2068,3.8882337
Globe,ALUPLANT,2069,5.4182766
Globe,ALUPLANT,2070,8.5537852
Globe,C1BFRDF00,2060,-1.0909634e-08
Globe,C1BFRDF00,2068,1.4939857e-07
Globe,C1BFRDF00,2069,-7.0524483e-08
Globe,C1BFRDF00,2070,-9.7745298e-08
Globe,C1BMHTF03,2060,-2.0477369e-05
Globe,C1BMHTF03,2063,2.5537848e-05
Globe,C1BMIGPCS,2042,0.45379333
Globe,C1BMIGPCS,2043,0.074396694
Globe,C1BMIGPCS,2051,4.948334
Globe,C1BMIGPCS,2063,1.0796983
Globe,C1BMIGPCS,2064,1.3628917
Globe,C1BMIGPCS,2065,8.3506456
Globe,C1BMIGPCS,2066,1.0778387
Globe,C1BMIGPCS,2067,1.4396355
Globe,C1BMIGPCS,2068,11.261681
Globe,C1BMIGPCS,2069,5.8880002
Globe,C1BMIGPCS,2070,5.9081968
Globe,C1BMLP000,2047,1.842152e-08
Globe,C1BMLP000,2061,-3.6938504e-08
Globe,C1BMLP000,2062,3.1795694e-07
Globe,C1CO00I00,2047,1.4644332e-05
Globe,C1CO00I00,2048,2.1265877e-05
Globe,C1CO00I00,2049,2.1636346e-05
Globe,C1CO00I00,2050,2.1989174e-05
Globe,C1CO00I00,2051,2.23252e-05
Globe,C1CO00I00,2052,2.2645225e-05
Globe,C1CO00I00,2053,2.2950011e-05
Globe,C1CO00I00,2054,2.3240283e-05
Globe,C1CO00I00,2055,2.3516733e-05
Globe,C1CO00I00,2056,2.3780018e-05
Globe,C1CO00I00,2057,2.4030766e-05
Globe,C1CO00I00,2058,2.4269574e-05
Globe,C1CO00I00,2059,2.449701e-05
Globe,C1CO00I00,2060,2.4713615e-05
Globe,C1CO00I00,2061,1.923185e-05
Globe,C1CO00I00,2062,3.698543e-06
Globe,C1CO00I00,2063,7.1655165e-06
